query_locus,query_i_num,target_loci,count_target_loci
L564,I29000,L562,1
L564,I21631,"L562,L564",2
L564,I21924,L564,1
L564,I27459,L562,1
L803,I26415,L802,1
L940,I26415,"L940,L941",2
L713,I26415,L112,1
L713,I26407,L112,1
L713,I26440,L713,1
L713,I26412,L713,1
L713,I26392,L112,1
L713,I21656,L713,1
L713,I21688,L112,1
L713,I23226,L112,1
L713,I24018,L713,1
L713,I21705,"L112,L713",2
L713,I23231,"L112,L713",2
L713,I12629,"L112,L713",2
L713,I23981,L713,1
L713,I21664,"L112,L713",2
L713,I23232,L112,1
L713,I27437,L112,1
L420,I26415,"L420,L421",2
L420,I26407,"L420,L421",2
L420,I23976,L421,1
L420,I23977,"L421,L422",2
L420,I21665,L422,1
L420,I29025,L420,1
L420,I29035,L420,1
L420,I23966,"L420,L421",2
L420,I26440,"L420,L421,L422",3
L420,I26400,"L420,L421",2
L420,I27460,L420,1
L420,I27446,L421,1
L420,I27407,"L420,L421",2
L420,I26412,L420,1
L420,I23230,"L420,L421",2
L420,I27420,"L420,L421,L422",3
L420,I23979,L421,1
L420,I21957,L420,1
L420,I27458,L420,1
L420,I26437,L420,1
L420,I23218,"L420,L421",2
L420,I21913,L420,1
L420,I24037,L420,1
L420,I27453,L422,1
L420,I24040,L420,1
L420,I23980,"L420,L421",2
L420,I21705,L420,1
L420,I23212,L420,1
L420,I27403,L421,1
L420,I21712,L421,1
L420,I23225,L421,1
L420,I27419,L420,1
L420,I21662,L420,1
L420,I24023,L421,1
L420,I26458,L421,1
L420,I23981,L421,1
L420,I8140,L420,1
L420,I24003,L422,1
L420,I21939,L420,1
L420,I23217,L420,1
L420,I23216,"L420,L421",2
L420,I28991,L420,1
L420,I21723,L420,1
L420,I24033,L420,1
L420,I24007,L421,1
L420,I23210,"L420,L421,L422",3
L420,I23240,L420,1
L420,I23965,"L420,L421",2
L420,I27405,L421,1
L420,I21631,L420,1
L420,I23982,L420,1
L420,I12648,"L420,L421",2
L420,I27368,"L420,L421,L422",3
L420,I27444,L420,1
L420,I26395,L420,1
L420,I29047,"L420,L421,L422",3
L420,I24055,L421,1
L420,I28964,L420,1
L420,I27459,L421,1
L939,I23976,L939,1
L939,I26440,L939,1
L939,I28993,L939,1
L939,I29057,L939,1
L939,I27407,L939,1
L939,I23233,L939,1
L939,I23253,L939,1
L939,I23226,L939,1
L939,I8168,L939,1
L939,I21925,L939,1
L939,I27405,L939,1
L939,I29052,L939,1
L939,I8169,L939,1
L939,I8171,L939,1
L939,I23223,L939,1
L939,I21721,L939,1
L939,I27422,L939,1
L187,I26415,"L638,L971",2
L187,I21923,L187,1
L187,I23998,L187,1
L187,I21935,L187,1
L187,I23214,L187,1
L187,I29048,L187,1
L187,I23226,L187,1
L187,I24015,L187,1
L187,I24050,L187,1
L187,I26464,L187,1
L187,I28973,L187,1
L187,I28990,L187,1
L187,I21924,L187,1
L187,I27404,L187,1
L112,I26415,L112,1
L112,I29028,L112,1
L112,I26466,L112,1
L112,I26440,L112,1
L112,I21915,L713,1
L112,I23239,L112,1
L112,I26390,L713,1
L112,I21921,L112,1
L112,I24030,"L112,L713",2
L112,I21953,L112,1
L112,I21947,L112,1
L112,I27420,"L112,L713",2
L112,I26392,L713,1
L112,I8172,L112,1
L112,I23214,L112,1
L112,I21688,L112,1
L112,I23222,"L112,L713",2
L112,I21638,L112,1
L112,I26374,L713,1
L112,I27458,L112,1
L112,I27425,L112,1
L112,I23250,L112,1
L112,I28994,L112,1
L112,I27453,L112,1
L112,I21705,L112,1
L112,I21712,L713,1
L112,I27403,L713,1
L112,I23225,L713,1
L112,I21926,L112,1
L112,I24035,L551,1
L112,I12629,"L112,L713",2
L112,I27443,L112,1
L112,I26402,L713,1
L112,I24023,L112,1
L112,I23981,L112,1
L112,I26464,L112,1
L112,I27452,L112,1
L112,I29011,L112,1
L112,I28991,"L112,L713",2
L112,I8168,L112,1
L112,I26411,L112,1
L112,I29016,L112,1
L112,I24007,L112,1
L112,I27418,L112,1
L112,I24005,L112,1
L112,I23210,L112,1
L112,I28990,L713,1
L112,I21925,L112,1
L112,I21932,L112,1
L112,I26434,L112,1
L112,I26380,L112,1
L112,I23215,L112,1
L112,I27435,L112,1
L112,I26420,"L112,L713",2
L112,I27406,"L112,L713",2
L112,I28964,L713,1
L112,I28979,L112,1
L112,I21929,L713,1
L112,I27427,L112,1
L484,I26415,L484,1
L484,I21665,L483,1
L484,I26466,L483,1
L484,I12626,L484,1
L484,I24030,L483,1
L484,I27399,L483,1
L484,I26462,L484,1
L484,I23252,L483,1
L484,I16357,L484,1
L484,I24012,L483,1
L484,I23985,L483,1
L484,I27443,L483,1
L484,I24009,L483,1
L484,I24036,L484,1
L484,I21631,L483,1
L484,I27435,L483,1
L484,I27406,L483,1
L484,I28964,L483,1
L111,I26415,"L210,L284",2
L111,I12646,L111,1
L111,I21689,L111,1
L111,I26440,L111,1
L111,I27439,L111,1
L111,I24010,L111,1
L111,I29013,L111,1
L111,I23239,L111,1
L111,I24030,L111,1
L111,I27398,L111,1
L111,I21952,L111,1
L111,I24057,L111,1
L111,I28989,L111,1
L111,I23230,L111,1
L111,I27420,L111,1
L111,I23995,L111,1
L111,I26463,L901,1
L111,I26437,L111,1
L111,I24016,L111,1
L111,I21705,L111,1
L111,I23212,L111,1
L111,I27417,L111,1
L111,I23985,L111,1
L111,I23249,L111,1
L111,I27408,L111,1
L111,I23217,L111,1
L111,I23216,L111,1
L111,I8168,L111,1
L111,I24033,L111,1
L111,I21946,L111,1
L111,I26379,L111,1
L111,I24005,L111,1
L111,I23210,L111,1
L111,I21925,L111,1
L111,I23220,L111,1
L111,I27435,L111,1
L111,I27444,L111,1
L111,I16352,L111,1
L111,I26436,L111,1
L111,I26420,L111,1
L111,I27397,L111,1
L111,I8171,L111,1
L111,I23223,L111,1
L111,I21721,L111,1
L111,I24002,L111,1
L19,I26415,"L18,L19",2
L19,I12626,L18,1
L19,I23998,L18,1
L19,I26432,"L18,L19",2
L19,I27398,L19,1
L19,I16357,L18,1
L19,I21917,L19,1
L19,I27419,"L18,L19",2
L19,I26402,L18,1
L19,I8168,L19,1
L19,I21723,L18,1
L19,I26379,L18,1
L19,I24036,L19,1
L19,I21925,L19,1
L19,I9733,L18,1
L15,I23976,"L14,L15",2
L15,I24027,L14,1
L15,I23214,L15,1
L15,I16357,"L14,L15",2
L15,I29016,L14,1
L15,I21924,L14,1
L647,I23976,"L646,L647",2
L647,I26409,L647,1
L647,I26386,L647,1
L647,I24050,L646,1
L647,I23981,L648,1
L308,I23976,L308,1
L308,I21923,L307,1
L308,I26412,"L307,L308",2
L308,I23979,L308,1
L308,I26404,L308,1
L308,I21679,L308,1
L1022,I26415,L688,1
L1022,I23967,L1022,1
L1022,I23227,L1022,1
L1022,I21922,"L1021,L1022",2
L1022,I23253,L1022,1
L1022,I23214,L1022,1
L1022,I23983,"L1021,L1022",2
L1022,I21959,"L1021,L1022",2
L1022,I21678,L1022,1
L1022,I21919,"L1021,L1022",2
L1022,I23252,L1022,1
L1022,I24040,L1022,1
L1022,I29033,L1022,1
L1022,I24023,L1022,1
L1022,I23981,L1022,1
L1022,I27408,L1022,1
L1022,I23984,L1021,1
L1022,I27418,L1022,1
L1022,I12632,L1021,1
L1022,I29052,L1022,1
L1022,I21631,L1022,1
L1022,I23982,"L1021,L1022",2
L1022,I23232,L1021,1
L1022,I29047,L1022,1
L1022,I27406,L1022,1
L471,I26407,L472,1
L980,I26407,L979,1
L980,I26390,L979,1
L980,I27428,L980,1
L980,I23981,"L979,L980",2
L980,I23984,"L979,L980",2
L980,I27436,"L978,L980",2
L584,I26407,L584,1
L584,I28989,L584,1
L584,I21935,L584,1
L584,I26403,L584,1
L472,I23976,"L472,L473",2
L472,I26463,"L471,L473",2
L472,I28990,L472,1
L472,I12648,"L471,L472,L473",3
L182,I26407,"L181,L182,L183",3
L182,I26408,L182,1
L182,I23963,L181,1
L182,I21916,L181,1
L182,I21695,"L181,L182",2
L185,I26407,"L184,L185,L186",3
L185,I21681,L185,1
L185,I27411,"L184,L185",2
L185,I27403,"L185,L186",2
L185,I26408,L185,1
L245,I26407,"L244,L245",2
L245,I26432,L245,1
L245,I23239,"L244,L245",2
L245,I27428,L244,1
L245,I23226,L245,1
L245,I21678,L244,1
L245,I24037,L244,1
L245,I21917,"L243,L245",2
L245,I26408,L245,1
L245,I27443,L244,1
L245,I26458,L244,1
L245,I21664,L244,1
L245,I28990,L244,1
L245,I23965,"L244,L245",2
L245,I23215,L245,1
L245,I23963,L245,1
L283,I26407,"L282,L283",2
L283,I23969,L283,1
L283,I26463,L527,1
L283,I27428,L283,1
L283,I26408,L283,1
L283,I24023,L282,1
L283,I27436,L283,1
L283,I23963,L283,1
L301,I26407,"L300,L301,L302",3
L301,I26419,L300,1
L301,I27428,"L300,L301",2
L301,I26408,L301,1
L301,I27436,L301,1
L436,I26407,"L436,L437",2
L436,I21923,L436,1
L436,I27442,L436,1
L436,I26412,L436,1
L436,I28989,"L436,L437",2
L436,I21947,L436,1
L436,I29048,L436,1
L436,I29053,L436,1
L436,I26408,L436,1
L436,I26458,L436,1
L436,I28997,L436,1
L436,I28992,"L436,L437",2
L436,I27368,L436,1
L436,I16352,L436,1
L436,I27392,"L436,L437",2
L440,I26407,"L439,L440",2
L440,I23227,"L439,L440",2
L440,I24027,L439,1
L440,I27453,L439,1
L440,I23212,L440,1
L440,I26408,L440,1
L440,I27389,L439,1
L440,I23231,L439,1
L440,I21946,L440,1
L440,I23215,L439,1
L447,I26407,"L447,L448,L449",3
L447,I23986,L447,1
L447,I26408,L447,1
L450,I26407,"L449,L450,L451",3
L450,I23990,"L449,L450,L451",3
L450,I27384,L451,1
L450,I26440,L450,1
L450,I27411,"L450,L451",2
L450,I27450,"L449,L450,L451",3
L450,I27452,L450,1
L450,I23217,L450,1
L450,I21664,"L450,L451",2
L450,I27436,"L450,L451",2
L450,I27444,"L449,L451",2
L511,I26407,"L511,L512",2
L511,I23990,"L511,L512",2
L511,I21694,L511,1
L511,I21638,L511,1
L511,I29053,L511,1
L511,I26408,L511,1
L511,I21662,L511,1
L511,I29029,L511,1
L511,I26445,L511,1
L511,I26389,L511,1
L511,I21631,L511,1
L511,I16352,L512,1
L512,I26407,"L511,L512",2
L512,I29034,L512,1
L512,I26456,L511,1
L512,I16362,L511,1
L512,I26390,"L510,L511,L512",3
L512,I29031,"L511,L512",2
L512,I26408,L512,1
L512,I26387,L512,1
L512,I23981,"L511,L512",2
L512,I26464,"L511,L512",2
L512,I28992,L512,1
L512,I21631,L511,1
L512,I16352,L512,1
L51,I26407,"L49,L50,L51",3
L51,I29038,"L51,L52",2
L51,I26408,L51,1
L51,I26427,"L50,L51",2
L528,I26407,"L528,L529",2
L528,I26408,L528,1
L528,I23965,L528,1
L528,I23963,L528,1
L543,I26407,"L542,L543",2
L543,I26408,"L542,L543",2
L543,I21916,L544,1
L597,I26407,"L596,L597",2
L597,I29034,L596,1
L597,I27411,"L596,L597",2
L597,I26408,L597,1
L617,I26407,"L616,L617",2
L617,I21923,"L616,L617",2
L617,I26456,L616,1
L617,I28984,"L616,L617",2
L617,I24010,L617,1
L617,I26423,"L616,L617",2
L617,I21694,"L616,L617",2
L617,I21959,L617,1
L617,I23212,L617,1
L617,I26408,L617,1
L617,I21662,L617,1
L617,I23981,"L616,L618",2
L617,I21946,L617,1
L617,I27418,"L616,L617",2
L617,I29006,"L616,L617,L618",3
L617,I28992,L617,1
L617,I21924,L616,1
L617,I21929,L617,1
L681,I26407,"L680,L681,L682",3
L681,I21923,L680,1
L681,I12646,"L680,L681,L683",3
L681,I29031,"L680,L681",2
L681,I26380,L680,1
L681,I21916,L680,1
L291,I26407,L291,1
L291,I28989,L291,1
L291,I26408,L291,1
L291,I29033,L291,1
L291,I29016,L291,1
L291,I21664,L291,1
L372,I26407,L372,1
L372,I12646,L371,1
L372,I26456,L371,1
L372,I29009,L372,1
L372,I23986,L372,1
L372,I26457,L372,1
L372,I26463,L372,1
L372,I23226,L372,1
L372,I26408,L372,1
L372,I24050,L371,1
L398,I26407,L398,1
L398,I27440,L398,1
L398,I27384,L398,1
L398,I29026,L398,1
L398,I26408,L398,1
L398,I28997,L398,1
L398,I29055,L398,1
L398,I29006,L398,1
L398,I27405,L272,1
L398,I29052,L398,1
L398,I27368,L398,1
L398,I29047,L398,1
L398,I27392,L398,1
L398,I24045,L398,1
L435,I26407,L435,1
L435,I21922,L435,1
L435,I27428,L435,1
L435,I26408,L435,1
L435,I27436,L435,1
L491,I26407,L491,1
L491,I26419,L491,1
L491,I26408,L491,1
L491,I21664,L491,1
L766,I26407,L766,1
L766,I29034,L765,1
L766,I26456,L766,1
L766,I26408,L766,1
L766,I24005,L765,1
L766,I21924,L765,1
L818,I26407,L818,1
L818,I24010,L818,1
L818,I27411,L818,1
L818,I23226,L818,1
L818,I24037,L501,1
L818,I26408,L818,1
L818,I27438,L818,1
L1021,I23976,L1021,1
L1021,I26415,L1022,1
L1021,I27396,L1022,1
L1021,I29057,L1022,1
L1021,I21680,L1022,1
L1021,I26412,L1021,1
L1021,I24020,L1022,1
L1021,I21922,L1021,1
L1021,I23253,L1021,1
L1021,I26457,L1021,1
L1021,I26463,L1021,1
L1021,I21928,L1021,1
L1021,I27411,L1021,1
L1021,I21959,"L1021,L1022",2
L1021,I21919,"L1021,L1022",2
L1021,I24018,L1021,1
L1021,I21926,L1021,1
L1021,I24009,L1022,1
L1021,I24023,L1022,1
L1021,I27408,L1021,1
L1021,I21664,L1021,1
L1021,I24005,L1022,1
L1021,I23982,"L1021,L1022",2
L1021,I23232,L1021,1
L1021,I27435,L1022,1
L1021,I26436,L1021,1
L1021,I21697,"L1021,L1022",2
L1021,I23219,L1021,1
L1021,I21929,L1021,1
L1021,I23964,L362,1
L1021,I21695,L1021,1
L1009,I23976,L321,1
L1009,I21640,"L1009,L321",2
L1009,I26440,L321,1
L1009,I29013,L1009,1
L1009,I23227,L1009,1
L1009,I23969,L1009,1
L1009,I21641,L1009,1
L1009,I23222,L1009,1
L1009,I24050,L1009,1
L1009,I27417,L321,1
L1009,I27408,L1009,1
L1009,I24053,"L1009,L321",2
L1009,I27418,L1009,1
L1009,I23965,L1009,1
L1009,I27444,"L1009,L321",2
L1009,I26413,L1009,1
L914,I23977,L915,1
L914,I27379,L914,1
L914,I12647,L916,1
L914,I21656,L914,1
L914,I26374,"L915,L916",2
L914,I29038,L915,1
L914,I8140,"L914,L916",2
L914,I21723,L914,1
L914,I24008,L915,1
L914,I28964,L916,1
L1014,I23977,L1015,1
L1014,I8132,L1015,1
L1014,I8160,L1015,1
L1014,I24015,L1015,1
L1014,I16359,L1014,1
L1014,I28963,L1014,1
L1036,I23977,L1037,1
L1036,I23239,"L1036,L1037",2
L1036,I26412,"L1036,L1037",2
L1036,I21631,L1036,1
L11,I23977,"L10,L11",2
L11,I24050,L11,1
L11,I24009,L10,1
L11,I24036,L10,1
L146,I23977,L145,1
L146,I16360,L147,1
L146,I23982,L145,1
L376,I23977,L377,1
L376,I28984,L376,1
L376,I29026,"L376,L377",2
L376,I23965,L376,1
L376,I23963,L376,1
L421,I23977,"L421,L422",2
L421,I26385,"L420,L422",2
L421,I27396,"L421,L422",2
L421,I23966,"L421,L422",2
L421,I21654,L421,1
L421,I26400,L421,1
L421,I27460,L421,1
L421,I27442,L421,1
L421,I24030,L421,1
L421,I23233,"L421,L422",2
L421,I26392,L421,1
L421,I23214,L421,1
L421,I26463,L422,1
L421,I21913,L421,1
L421,I23252,L421,1
L421,I26403,L422,1
L421,I12623,L421,1
L421,I23980,L422,1
L421,I21705,L421,1
L421,I23212,L421,1
L421,I24050,"L421,L422",2
L421,I27443,"L421,L422",2
L421,I26458,L421,1
L421,I23981,L422,1
L421,I27408,L421,1
L421,I8140,L421,1
L421,I26464,L421,1
L421,I21939,L421,1
L421,I21956,L421,1
L421,I24033,L421,1
L421,I21946,L421,1
L421,I24005,L421,1
L421,I23965,"L421,L422",2
L421,I21631,L421,1
L421,I16352,"L421,L422",2
L421,I21670,L421,1
L421,I27427,L421,1
L422,I23977,"L421,L422",2
L422,I27396,"L421,L422",2
L422,I29035,L421,1
L422,I23966,L421,1
L422,I26440,"L421,L422",2
L422,I12647,L421,1
L422,I23233,"L421,L422",2
L422,I29026,"L421,L422",2
L422,I21947,L421,1
L422,I26463,L422,1
L422,I27411,L422,1
L422,I23983,"L421,L422",2
L422,I21913,"L421,L422",2
L422,I12623,L421,1
L422,I23980,L422,1
L422,I16357,L421,1
L422,I21705,L422,1
L422,I23212,L422,1
L422,I24015,L421,1
L422,I24050,"L421,L422",2
L422,I27443,"L421,L422",2
L422,I23981,"L421,L422",2
L422,I8140,L422,1
L422,I26464,"L421,L422",2
L422,I23217,L422,1
L422,I21946,"L421,L422",2
L422,I21664,"L421,L422",2
L422,I26445,L422,1
L422,I26389,L422,1
L422,I28971,L422,1
L422,I23965,L421,1
L422,I27405,L422,1
L422,I23982,L422,1
L422,I12648,"L421,L422",2
L422,I27444,L422,1
L422,I16352,"L421,L422",2
L422,I26420,L421,1
L75,I23977,L76,1
L75,I23233,L76,1
L75,I16357,L76,1
L75,I23984,"L75,L76",2
L76,I23977,L75,1
L810,I23977,L811,1
L810,I29009,"L810,L811",2
L810,I24027,L811,1
L810,I23988,L811,1
L810,I29011,L811,1
L810,I28991,L810,1
L810,I29016,L810,1
L810,I21664,L810,1
L810,I29037,L811,1
L810,I24011,L811,1
L928,I23977,"L928,L929",2
L928,I23230,L927,1
L928,I21935,L927,1
L928,I23252,L928,1
L928,I23231,L928,1
L928,I24012,L929,1
L928,I29029,"L927,L928",2
L928,I24023,L929,1
L928,I27452,"L928,L929",2
L929,I23977,"L928,L929",2
L929,I29034,L929,1
L929,I24051,L929,1
L929,I28994,L929,1
L929,I24050,L929,1
L929,I27452,"L928,L929",2
L929,I26411,L929,1
L929,I27418,"L928,L929",2
L929,I28990,L929,1
L929,I28964,L929,1
L929,I27457,L928,1
L960,I23977,L961,1
L960,I23990,L960,1
L960,I27395,L962,1
L960,I23233,L961,1
L960,I24048,L962,1
L960,I27425,L960,1
L960,I23985,L960,1
L960,I23982,L961,1
L960,I24011,L961,1
L1012,I23977,L1012,1
L1012,I21923,L1011,1
L1012,I12626,L1011,1
L1012,I23233,L1012,1
L1012,I29048,L1011,1
L1012,I27443,"L1011,L1012",2
L1012,I26411,L1012,1
L1012,I28990,L1011,1
L1012,I21631,L1011,1
L1012,I9733,L1012,1
L149,I23977,L149,1
L149,I23966,"L149,L150",2
L149,I23233,L149,1
L149,I29031,"L149,L150",2
L149,I23983,L149,1
L149,I29006,"L149,L150",2
L149,I29052,L149,1
L149,I23982,L149,1
L172,I23977,L172,1
L172,I23233,L172,1
L172,I28973,L173,1
L172,I24007,L173,1
L172,I24011,L173,1
L231,I23977,L231,1
L231,I27445,L231,1
L231,I23233,L231,1
L231,I21687,L231,1
L231,I23995,L231,1
L231,I26419,L231,1
L231,I23980,L231,1
L231,I29033,L231,1
L231,I27452,L231,1
L231,I23217,L231,1
L231,I26418,L231,1
L231,I24007,L231,1
L231,I27418,L231,1
L231,I23982,L231,1
L231,I24011,L199,1
L234,I23977,L234,1
L234,I26432,L234,1
L234,I27445,L233,1
L234,I26423,L233,1
L234,I23233,L234,1
L234,I24040,L233,1
L234,I21917,L234,1
L234,I23249,L234,1
L234,I21664,L233,1
L234,I27418,L234,1
L234,I24036,L234,1
L234,I29055,L234,1
L234,I21916,L233,1
L234,I24045,L233,1
L310,I23977,L310,1
L310,I23233,L310,1
L362,I23977,L362,1
L362,I21923,L359,1
L362,I23999,L362,1
L362,I21689,L362,1
L362,I29050,"L359,L362",2
L362,I27396,L359,1
L362,I26440,L359,1
L362,I26456,L359,1
L362,I21672,L362,1
L362,I21915,L359,1
L362,I27460,L362,1
L362,I23239,L362,1
L362,I27379,"L359,L362",2
L362,I24027,L362,1
L362,I21953,L362,1
L362,I24020,"L359,L362",2
L362,I21952,L359,1
L362,I23233,"L359,L362",2
L362,I21918,"L359,L362",2
L362,I21922,L362,1
L362,I23230,L359,1
L362,I23253,L362,1
L362,I27399,L362,1
L362,I21687,L362,1
L362,I27420,L362,1
L362,I21935,L359,1
L362,I23228,L359,1
L362,I8172,L362,1
L362,I23214,L362,1
L362,I26467,"L359,L362",2
L362,I23222,L362,1
L362,I21638,L362,1
L362,I27456,L362,1
L362,I21948,L362,1
L362,I23250,L362,1
L362,I23252,L362,1
L362,I23246,L362,1
L362,I24037,L362,1
L362,I24040,L362,1
L362,I24031,L362,1
L362,I24015,L359,1
L362,I21662,L359,1
L362,I27417,"L359,L362",2
L362,I27443,L359,1
L362,I29029,L362,1
L362,I24023,L359,1
L362,I21939,L359,1
L362,I27452,"L359,L362",2
L362,I21956,"L359,L362",2
L362,I23216,L362,1
L362,I28973,L359,1
L362,I26411,L359,1
L362,I24033,L359,1
L362,I21946,L362,1
L362,I21664,"L359,L362",2
L362,I26445,L362,1
L362,I27418,L362,1
L362,I24005,L362,1
L362,I23210,L362,1
L362,I23978,L359,1
L362,I26397,L362,1
L362,I21925,"L359,L362",2
L362,I23215,L362,1
L362,I29052,L362,1
L362,I12648,L362,1
L362,I27438,L362,1
L362,I27444,L362,1
L362,I16352,"L359,L362",2
L362,I26395,L362,1
L362,I23251,L362,1
L362,I27397,L362,1
L362,I24055,L362,1
L362,I21697,L362,1
L362,I26459,L362,1
L362,I21924,L359,1
L362,I21721,L362,1
L362,I26413,L362,1
L362,I21929,"L359,L362",2
L362,I24045,L359,1
L362,I27422,L362,1
L362,I27457,L359,1
L377,I23977,L377,1
L377,I23990,L377,1
L377,I21654,"L377,L378",2
L377,I23233,L377,1
L377,I29038,L377,1
L377,I24053,"L376,L377",2
L377,I27436,L377,1
L377,I29006,"L377,L378",2
L411,I23977,L411,1
L411,I26390,L411,1
L411,I23233,L411,1
L411,I26387,L411,1
L411,I26464,L411,1
L502,I23977,L502,1
L502,I26466,L502,1
L502,I23967,L502,1
L502,I24010,L502,1
L502,I29013,L502,1
L502,I23239,L502,1
L502,I23227,L502,1
L502,I21680,L502,1
L502,I24027,L501,1
L502,I27398,"L502,L504",2
L502,I23233,L502,1
L502,I27420,L502,1
L502,I27414,L502,1
L502,I23214,L502,1
L502,I21957,"L502,L503",2
L502,I23222,L502,1
L502,I21638,L502,1
L502,I27458,L501,1
L502,I26437,L502,1
L502,I21913,L502,1
L502,I27428,L502,1
L502,I23226,L503,1
L502,I23250,L502,1
L502,I27453,L502,1
L502,I24040,L502,1
L502,I23231,"L501,L503",2
L502,I24050,L502,1
L502,I21662,L502,1
L502,I27417,L502,1
L502,I29029,"L501,L502,L503",3
L502,I27408,L502,1
L502,I26464,L502,1
L502,I29011,L503,1
L502,I24033,"L502,L503",2
L502,I21925,L503,1
L502,I21932,"L502,L503",2
L502,I29052,L502,1
L502,I27435,"L501,L502",2
L502,I21679,"L502,L503",2
L502,I27459,L502,1
L502,I27457,L503,1
L506,I23977,L506,1
L506,I29032,L506,1
L506,I27442,L505,1
L506,I8132,L505,1
L506,I26423,L505,1
L506,I21713,"L505,L506",2
L506,I12647,L505,1
L506,I23233,L506,1
L506,I21638,L505,1
L506,I26419,L505,1
L506,I27453,L506,1
L506,I16357,L505,1
L506,I21917,L506,1
L506,I27443,L506,1
L506,I24023,"L505,L506",2
L506,I27452,"L505,L506",2
L506,I26411,L506,1
L506,I21664,L505,1
L506,I24007,L506,1
L506,I24036,L506,1
L506,I23215,L505,1
L506,I29052,L505,1
L506,I23982,L505,1
L506,I16352,L506,1
L506,I21679,L505,1
L506,I27457,L505,1
L506,I27427,L506,1
L541,I23977,L541,1
L541,I23233,L541,1
L541,I27425,L541,1
L541,I26380,L541,1
L568,I23977,L568,1
L568,I26423,L568,1
L568,I21681,L568,1
L568,I21694,L568,1
L568,I23233,L568,1
L568,I21918,L567,1
L568,I21641,"L567,L568",2
L568,I21919,L568,1
L568,I21662,L567,1
L568,I23217,L568,1
L568,I24041,"L567,L568",2
L568,I21664,L567,1
L568,I23232,L568,1
L635,I23977,L635,1
L635,I27386,"L634,L635",2
L635,I23233,L635,1
L635,I27394,L635,1
L635,I26419,L635,1
L635,I26427,"L633,L634,L635",3
L667,I23977,L667,1
L667,I23233,L667,1
L667,I12648,"L667,L668",2
L869,I23977,L869,1
L869,I21923,L869,1
L869,I23233,L869,1
L869,I23231,L869,1
L869,I27368,L870,1
L869,I21924,L869,1
L904,I23977,L904,1
L904,I23233,L904,1
L904,I21664,L904,1
L904,I21916,"L903,L905",2
L924,I23977,L924,1
L924,I26456,L924,1
L924,I27442,L924,1
L924,I24027,L924,1
L924,I21694,L924,1
L924,I23233,L924,1
L924,I21638,L924,1
L924,I26458,L924,1
L924,I29011,L924,1
L924,I27455,"L923,L924",2
L924,I16359,L924,1
L924,I27427,L924,1
L985,I23977,L985,1
L985,I28984,L985,1
L985,I23233,L985,1
L985,I29048,L985,1
L985,I29053,L985,1
L985,I23985,L985,1
L985,I28992,L985,1
L985,I23982,L985,1
L501,I23977,L500,1
L501,I29028,L501,1
L501,I26466,L500,1
L501,I21923,L500,1
L501,I12646,"L500,L502",2
L501,I29025,"L500,L502",2
L501,I27440,"L500,L502",2
L501,I27396,L500,1
L501,I23998,L500,1
L501,I26432,L500,1
L501,I26456,L500,1
L501,I27439,L502,1
L501,I21672,L501,1
L501,I21915,L500,1
