query_locus,target_locus,overlap_types,overlap_type_count
L259,L259,"A,C,D,G",4
L26,L26,"A,C,D,G",4
L260,L260,"A,C,D,G",4
L261,L261,"C,D,G,H",4
L262,L262,"A,G,H",3
L264,L264,"B,G,H",3
L265,L265,"A,C,D,G,H",5
L266,L266,"C,D",2
L267,L267,"B,C,D,G",4
L268,L268,"A,C,D,G,H",5
L269,L269,"A,B,C,D,G,H",6
L27,L27,"C,D,G",3
L270,L270,"A,B,D,G,H",5
L271,L271,"A,D,G",3
L272,L272,"A,B,C,D,G",5
L273,L273,"C,D,H",3
L274,L274,"C,D",2
L275,L275,"C,D",2
L276,L276,"C,D,G",3
L277,L277,"C,D",2
L278,L278,D,1
L279,L279,"A,G",2
L28,L28,"C,D,G,H",4
L280,L280,"C,D,G",3
L281,L281,"A,C,D,G",4
L282,L282,"C,D,G",3
L283,L283,"C,D,G",3
L284,L284,"A,C,D,G,H",5
L285,L285,"A,C,D,G,H",5
L286,L286,"C,D,G",3
L287,L287,"A,C,D,G,H",5
L288,L288,"C,D,G",3
L289,L289,"C,D",2
L29,L29,"B,C,D,G,H",5
L290,L290,"A,C,D,G",4
L291,L291,"A,C,D,G,H",5
L292,L292,"A,D,G",3
L295,L295,"C,D,G",3
L296,L296,"D,G",2
L297,L297,"C,D,G",3
L298,L298,G,1
L299,L299,"A,C,D,G",4
L3,L3,"A,C,D,G,H",5
L30,L30,"A,C,D,G",4
L300,L300,"C,D",2
L301,L301,"C,D,G",3
L302,L302,"C,D",2
L303,L303,"A,C,D,G",4
L304,L304,"C,D,G,H",4
L305,L305,"A,C,D,G,H",5
L306,L306,"A,C,D,G,H",5
L307,L307,G,1
L308,L308,"C,D,G",3
L309,L309,"A,C,D,G",4
L31,L31,D,1
L310,L310,"A,B,G",3
L311,L311,"A,G",2
L312,L312,"C,D,G,H",4
L313,L313,"B,G",2
L314,L314,"A,C,D,G,H",5
L315,L315,"A,C,D,G,H",5
L316,L316,"B,C,D,G,H",5
L317,L317,"C,D",2
L318,L318,"D,G,H",3
L319,L319,"C,D,G,H",4
L32,L32,"C,D,G",3
L320,L320,"A,C,D,G,H",5
L321,L321,"C,D,G,H",4
L322,L322,"G,H",2
L323,L323,"G,H",2
L324,L324,"A,B,D,G",4
L325,L325,"A,C,D,G",4
L326,L326,"B,C,D,G",4
L327,L327,"C,D",2
L328,L328,"A,C,D,G",4
L329,L329,"C,D,H",3
L33,L33,"A,C,D,G,H",5
L330,L330,"C,D,G",3
L331,L331,"A,C,D,G,H",5
L332,L332,"B,C,D,G,H",5
L334,L334,"A,C,D,G",4
L335,L335,"C,D",2
L336,L336,"C,D",2
L337,L337,"A,D,G,H,OOPS",5
L338,L338,"B,C,D,G,H",5
L339,L339,"B,C,D,G,H",5
L34,L34,"A,D,G",3
L340,L340,"B,C,D,G",4
L341,L341,"B,C,D,G",4
L344,L344,G,1
L345,L345,"A,B,G",3
L346,L346,"A,C,D,G,H",5
L347,L347,"C,D,G,H",4
L348,L348,"C,D,G,H",4
L349,L349,"C,D,G",3
L35,L35,"A,C,D,G,H",5
L350,L350,"A,C,D,G",4
L351,L351,"A,C,D,G",4
L352,L352,"A,B,C,D,G",5
L353,L353,"C,D,G",3
L354,L354,"B,C,D,G",4
L355,L355,"C,D,G,H",4
L356,L356,"B,G,H",3
L357,L357,"C,D,H",3
L358,L358,"C,D,G",3
L359,L359,"A,C,D,G,H",5
L36,L36,"A,C,D,G",4
L362,L362,"B,C,D,G,H",5
L363,L363,"A,B,C,D,G",5
L364,L364,"B,C,D,G,H",5
L365,L365,"A,C,D,G,H",5
L366,L366,"B,C,D,G,H",5
L367,L367,"B,C,D,G,H",5
L368,L368,"B,C,D,G,H",5
L369,L369,"C,D,G,H",4
L37,L37,"C,D,H",3
L370,L370,"C,D,G,H",4
L371,L371,"A,C,D,G,H",5
L372,L372,"B,C,D,G",4
L374,L374,"A,B,C,D,G",5
L379,L379,"C,D,G",3
L38,L38,"C,D,G,H",4
L380,L380,"C,D",2
L381,L381,"C,D,G,H",4
L382,L382,"A,C,D,G",4
L383,L383,"C,D,G",3
L384,L384,"A,C,D,G,H",5
L385,L385,"A,G,H",3
L386,L386,"A,B,D,G",4
L387,L387,"D,G",2
L388,L388,"A,C,D,G,H",5
L389,L389,"C,D,G",3
L39,L39,"A,B,C,D,G,H",6
L390,L390,"A,C,D,G",4
L391,L391,"A,B,C,D,G",5
L392,L392,"C,D,G,H",4
L394,L394,"C,D,G,H",4
L395,L395,"C,D,G",3
L396,L396,"C,D,G,H",4
L397,L397,"C,D,G,H",4
L398,L398,"C,D,G",3
L399,L399,"A,G,H",3
L4,L4,"C,D,H",3
L40,L40,"A,C,D,G,H",5
L400,L400,"B,C,D,G",4
L401,L401,"C,D",2
L402,L402,"A,C,D,G",4
L403,L403,"A,C,D,G",4
L404,L404,"C,D,G",3
L405,L405,"C,D,G,H",4
L407,L407,"C,D,G",3
L408,L408,"C,D,G,H",4
L409,L409,"A,C,D,G",4
L41,L41,"A,B,D,G,H",5
L410,L410,"A,G",2
L411,L411,"A,C,D,G",4
L412,L412,"C,D",2
L413,L413,"C,D,G,H",4
L414,L414,"C,D",2
L415,L415,"C,D,G",3
L417,L417,"C,D",2
L418,L418,"C,D,H",3
L419,L419,"C,D,G,H",4
L42,L42,"C,D,G",3
L420,L420,"A,C,D,G,H",5
L421,L421,"B,C,D,G,H",5
L422,L422,"B,C,D,G,H",5
L423,L423,"A,C,D,G,H",5
L424,L424,G,1
L425,L425,"A,C,D,G",4
L426,L426,"A,C,D,G",4
L427,L427,"A,C,D,G,H",5
L428,L428,"A,C,D,G",4
L429,L429,"A,B,C,D,G,H",6
L43,L43,"A,B,C,D,G",5
L430,L430,"G,H",2
L431,L431,G,1
L432,L432,"A,B,G,H",4
L433,L433,"C,D,G,H",4
L434,L434,"A,C,D,G",4
L435,L435,"A,C,D,G,H",5
L436,L436,"C,D,G,H",4
L437,L437,"A,C,D,G,H",5
L438,L438,"C,D,G",3
L439,L439,"A,C,D,G,H",5
L44,L44,"C,D,G",3
L440,L440,"A,B,C,D,G",5
L441,L441,"C,D,G",3
L442,L442,"A,C,D,G",4
L443,L443,"A,C,D,G,H",5
L444,L444,"A,D,G,H",4
L445,L445,"A,D,G",3
L446,L446,"D,G,H",3
L447,L447,"A,C,D,G,H",5
L448,L448,"C,D,G",3
L449,L449,"A,C,D,G,H",5
L45,L45,"B,C,D,G",4
L450,L450,"A,C,D,G,H",5
L451,L451,G,1
L452,L452,"A,B,C,D,G",5
L453,L453,"C,D,G,H",4
L454,L454,"C,D,G,H",4
L455,L455,"G,H",2
L456,L456,"A,C,D,G,H",5
L458,L458,"C,D",2
L459,L459,"A,C,D,G",4
L46,L46,G,1
L460,L460,"A,C,D,G,H",5
L461,L461,"B,C,D,G,H",5
L462,L462,"A,C,D,G,H",5
L464,L464,"A,B,C,D,G,H",6
L465,L465,"C,D",2
L466,L466,"A,D,G,H",4
L468,L468,"A,C,D,G",4
L469,L469,"C,D,G,H",4
L47,L47,"C,D,G,H",4
L470,L470,"C,D,G,H",4
L471,L471,"C,D,G",3
L472,L472,"C,D,G,H",4
L473,L473,"A,C,D,G",4
L474,L474,"A,C,D,G",4
L475,L475,"A,B,C,D,G",5
L476,L476,"C,D,G",3
L477,L477,"B,C,D,G,H",5
L478,L478,"C,D,G,H",4
L479,L479,"A,C,D,G",4
L48,L48,"B,C,D,G,H",5
L480,L480,"G,H",2
L481,L481,"A,B,C,D,G,H",6
L482,L482,"A,C,D,G",4
L483,L483,"A,D,G",3
L484,L484,"C,D,G,H",4
L485,L485,"C,D",2
L486,L486,"A,G,H",3
L487,L487,"C,D",2
L488,L488,G,1
L489,L489,"C,D,G",3
L49,L49,"C,D",2
L490,L490,"C,D,G",3
L491,L491,"A,C,D,G",4
L492,L492,"C,D,G,H",4
L493,L493,"A,C,D,G",4
L494,L494,"C,D,G,H",4
L495,L495,"A,B,G",3
L496,L496,"B,C,D,G,H",5
L5,L5,"C,D,G,H",4
L50,L50,"C,D",2
L500,L500,"A,C,D,G,H",5
L501,L501,"A,B,C,D,G,H",6
L502,L502,"C,D,G,H",4
L503,L503,"C,D,G,H",4
L504,L504,"C,D,G,H",4
L505,L505,"A,C,D,G",4
L506,L506,"A,C,D,G,H",5
L507,L507,"C,D",2
L508,L508,"C,D,G",3
L51,L51,"C,D",2
L510,L510,"A,G,H",3
L511,L511,"A,B,C,D,G,H",6
L512,L512,"B,C,D,G,H",5
L513,L513,"A,G",2
L514,L514,"C,D",2
L515,L515,"C,D",2
L516,L516,"A,C,D,G",4
L517,L517,"A,C,D,G",4
L518,L518,"C,D,G",3
L519,L519,"A,C,D,G",4
L52,L52,D,1
L522,L522,"C,D,G",3
L523,L523,"A,C,D,G,H",5
L524,L524,"B,C,D,G,H",5
L525,L525,"A,C,D,G",4
L526,L526,"C,D,G",3
L527,L527,"A,C,D,G",4
L528,L528,"C,D",2
L529,L529,"A,B,C,D,G",5
L53,L53,"C,D,G",3
L532,L532,"A,B,G",3
L533,L533,"C,D,G,H",4
L534,L534,"A,C,D,G,H",5
L535,L535,"A,C,D,G,H",5
L537,L537,"C,D",2
L54,L54,"C,D,G",3
L540,L540,"C,D,G,H",4
L541,L541,"C,D,G",3
L542,L542,"C,D,G",3
L543,L543,"C,D",2
L544,L544,"C,D,G",3
L545,L545,"A,C,D,G,H",5
L546,L546,"A,B,D,G,H",5
L547,L547,"A,C,D,G",4
L548,L548,"C,D,G",3
L549,L549,"A,C,D,G,H",5
L55,L55,"C,D,G",3
L550,L550,"A,C,D,G",4
L551,L551,"C,D,G,H",4
L552,L552,"A,C,D,G",4
L553,L553,"A,C,D,G,H",5
L554,L554,"A,D,G,H",4
L555,L555,"C,D,G",3
L556,L556,"A,C,D,G",4
L557,L557,"A,C,D,G,H",5
L558,L558,"A,C,D,G,H",5
L559,L559,"A,C,D,G",4
L56,L56,G,1
L560,L560,"B,C,D,G",4
L561,L561,"C,D,H",3
L562,L562,"C,D",2
L564,L564,"A,C,D,G,H",5
L565,L565,"D,G,H",3
L566,L566,"C,D,G,H",4
L567,L567,H,1
L568,L568,"B,C,D,G,H",5
L569,L569,"A,G",2
L57,L57,"A,C,D,G",4
L570,L570,"C,D,G,H",4
L571,L571,"A,C,D,G,H",5
L572,L572,"C,D,G",3
L573,L573,"C,D,G",3
L574,L574,"C,D,G",3
L575,L575,"A,C,D,G",4
L576,L576,"A,C,D,G,H",5
L577,L577,"A,C,D,G",4
L578,L578,"A,B,C,D,G,H",6
L579,L579,"A,D,G,H",4
L58,L58,"C,D,H",3
L580,L580,"A,C,D,G,H",5
L581,L581,"A,B,C,D,G,H",6
L582,L582,G,1
L583,L583,"A,C,D,G",4
L584,L584,"C,D,G",3
L585,L585,"C,D,G,H",4
L586,L586,"A,C,D,G",4
L587,L587,"C,D",2
L589,L589,"A,B,C,D,G",5
L59,L59,"C,D,H",3
L590,L590,"C,D,G,H",4
L591,L591,"A,G",2
L593,L593,"C,D",2
L595,L595,"A,B,C,D,G",5
L596,L596,"A,C,D,G,H",5
L597,L597,"A,C,D,G",4
L598,L598,"A,C,D,G",4
L6,L6,"A,C,D,G",4
L60,L60,"C,D,G",3
L600,L600,"C,D,G,H",4
L602,L602,D,1
L603,L603,"C,D",2
L604,L604,"A,C,D,G,H",5
L605,L605,"A,D,G,H",4
L606,L606,"A,C,D,G",4
L607,L607,"A,G,H",3
L608,L608,"C,D,G",3
L609,L609,"A,C,D,G",4
L61,L61,"C,D,G",3
L610,L610,"C,D,H",3
L611,L611,"C,D,G,H",4
L612,L612,"A,C,D,G",4
L613,L613,D,1
L614,L614,"A,D,G,H",4
L615,L615,D,1
L616,L616,"A,C,D,G,H",5
L617,L617,"A,C,D,G,H",5
L618,L618,"C,D,G,H",4
L619,L619,"B,C,D,G",4
L62,L62,"A,C,D,G,H",5
L620,L620,"A,C,D,G,H",5
L621,L621,"A,C,D,G,H",5
L622,L622,"A,C,D,G,H",5
L623,L623,"B,C,D,G,H",5
L624,L624,"C,D,G,H",4
L625,L625,G,1
L626,L626,"C,D,G",3
L627,L627,"A,C,D,G,H",5
L629,L629,"C,D,G,H",4
L63,L63,"A,C,D,G,H",5
L630,L630,"A,G",2
L631,L631,"C,D,G,H",4
L632,L632,"C,D,G",3
L633,L633,"C,D",2
L634,L634,"A,C,D,G",4
L635,L635,"A,C,D,G,H",5
L636,L636,"A,C,D,G,H",5
L637,L637,"C,D",2
L638,L638,"A,C,D,G,H",5
L639,L639,"C,D,G",3
L64,L64,"A,C,D,G,H",5
L640,L640,"A,C,D,G",4
L641,L641,"C,D",2
L646,L646,"C,D,G",3
L647,L647,"A,B,C,D,G",5
L648,L648,"A,C,D,G,H",5
L649,L649,"C,D",2
L65,L65,"C,D,G,H",4
L650,L650,"A,C,D,G",4
L651,L651,"A,B,C,D,G",5
L652,L652,"C,D",2
L653,L653,"A,B,C,D,G,H",6
L654,L654,"C,D,G",3
L655,L655,"C,D",2
L656,L656,"C,D",2
L657,L657,"C,D,G",3
L658,L658,"A,C,D,G,H",5
L659,L659,"A,C,D,G,H",5
L66,L66,"C,D,G",3
L660,L660,"B,G,H",3
L661,L661,"C,D",2
L662,L662,"A,B,D,G",4
L663,L663,"A,C,D,G",4
L664,L664,"B,C,D,G,H",5
L665,L665,"A,C,D,G,H",5
L666,L666,"A,C,D,G",4
L667,L667,"A,C,D,G",4
L668,L668,"B,C,D,G",4
L669,L669,"C,D,G,H",4
L67,L67,"A,G",2
L670,L670,"A,G",2
L671,L671,"A,C,D,G,H",5
L672,L672,"A,C,D,G",4
L673,L673,"C,D",2
L675,L675,"C,D,G",3
L676,L676,"C,D,G",3
L677,L677,"B,C,D,G,H",5
L678,L678,"C,D,G,H",4
L679,L679,"A,G,H",3
L68,L68,"A,C,D,G,H",5
L680,L680,"A,D,G",3
L681,L681,"D,G",2
L682,L682,"A,C,D,G,H",5
L683,L683,"D,G,H",3
L684,L684,"C,D,G",3
L685,L685,"A,C,D,G,H",5
L686,L686,"C,D",2
L688,L688,"C,D,G",3
L689,L689,"D,G",2
L69,L69,"C,D,G",3
L690,L690,"A,D,G,H",4
L691,L691,"C,D,G,H",4
L692,L692,"C,D,G",3
L693,L693,"A,C,D,G",4
L694,L694,"A,C,D,G",4
L695,L695,"A,C,D,G,H",5
L696,L696,"C,D,G",3
L697,L697,G,1
L698,L698,"A,C,D,G,H",5
L699,L699,"A,G",2
L7,L7,"C,D,G",3
L70,L70,"A,C,D,G,H",5
L701,L701,"C,D,H",3
L702,L702,"C,D,G,H",4
L703,L703,"C,D,G",3
L704,L704,"A,C,D,G,H",5
L705,L705,"A,D,G",3
L706,L706,"A,D,G",3
L707,L707,"A,C,D",3
L708,L708,"A,C,D,G",4
L709,L709,"B,C,D,G,H",5
L71,L71,"C,D,H",3
L710,L710,"B,C,D,G,H",5
L712,L712,"C,D",2
L713,L713,"A,C,D,G,H",5
L714,L714,"A,C,D,G",4
L715,L715,"C,D,G",3
L716,L716,"C,D,G",3
L717,L717,"C,D,G",3
L718,L718,"C,D,G",3
L719,L719,"A,C,D,G",4
L72,L72,"A,D,G",3
L720,L720,A,1
L721,L721,"C,D,G,H",4
L722,L722,"A,C,D,G,H",5
L723,L723,"A,G",2
L724,L724,"C,D",2
L725,L725,"B,G,H",3
L726,L726,"B,G,H",3
L727,L727,"G,H",2
L728,L728,"D,G,H",3
L729,L729,"A,C,D,G",4
L73,L73,"C,D,G",3
L730,L730,"A,C,D,G,H",5
L731,L731,"C,D,G",3
L734,L734,"A,D,G",3
L736,L736,"B,C,D,G",4
L737,L737,"C,D",2
L738,L738,"C,D",2
L739,L739,"C,D,G",3
L74,L74,"B,C,D,G",4
L740,L740,"C,D,G,H",4
L741,L741,"A,B,G,H",4
L742,L742,"A,G,H",3
L744,L744,"A,C,D,G",4
L745,L745,"C,D,G,H",4
L746,L746,"C,D,G,H",4
L747,L747,"C,D,G,H",4
L748,L748,"A,C,D,G",4
L749,L749,"C,D,H",3
L75,L75,"C,D,G",3
L750,L750,"C,D,G",3
L751,L751,"C,D,G",3
L752,L752,"A,C,D,G",4
L753,L753,"A,B,C,D,G",5
L755,L755,"A,B,C,D,G,H",6
L756,L756,"A,G,H",3
L757,L757,"C,D,G",3
L758,L758,"C,D",2
L759,L759,"C,D,G,H",4
L760,L760,"A,C,D,G",4
L761,L761,"A,D,G,H",4
L762,L762,"C,D,G",3
L763,L763,"C,D,G,H",4
L764,L764,"C,D,G",3
L765,L765,"D,G,H",3
L766,L766,D,1
L767,L767,"A,B,C,D,G,H",6
L768,L768,"A,B,C,D,G,H",6
L77,L77,"C,D",2
L770,L770,"A,C,D,G",4
L771,L771,"A,B,C,D,G",5
L772,L772,"C,D",2
L774,L774,"A,C,D,G,H",5
L776,L776,"C,D,G,H",4
L777,L777,"A,C,D,G",4
L778,L778,"A,C,D,G",4
L779,L779,"A,C,D,G,H",5
L78,L78,"A,C,D,G",4
L780,L780,"B,C,D,G",4
L781,L781,"A,C,D,G,H",5
L782,L782,"A,C,D,G,H",5
L783,L783,"C,D,G",3
L784,L784,"C,D,G,H",4
L785,L785,"A,D,G",3
L787,L787,"C,D",2
L788,L788,"C,D,G",3
L789,L789,"C,D",2
L79,L79,"A,D,G,H",4
L790,L790,G,1
L791,L791,"C,D",2
L793,L793,"D,G",2
L794,L794,"A,C,D,G,H",5
L795,L795,"C,D,G",3
L796,L796,"B,G",2
L798,L798,"C,D,G",3
L799,L799,"C,D",2
L8,L8,"A,C,D",3
L80,L80,"C,D,G",3
L800,L800,"C,D,G",3
L801,L801,"A,G",2
L802,L802,"B,C,D,G",4
L803,L803,"C,D,G",3
L804,L804,"C,D,G",3
L805,L805,"C,D,G",3
L806,L806,"A,B,C,D,G,H",6
L807,L807,"A,C,D,G",4
L808,L808,"C,D,G",3
L809,L809,"A,C,D,G,H",5
L81,L81,"A,C,D,G,H",5
L810,L810,"A,B,C,D,G",5
L811,L811,"D,G",2
L812,L812,"A,D,G",3
L814,L814,"A,C,D,G",4
L815,L815,"C,D",2
L816,L816,"A,C,D,G",4
L817,L817,"C,D,G,H",4
L818,L818,"A,B,C,D,G",5
L819,L819,"C,D,H",3
L82,L82,"B,C,D,G,H",5
L820,L820,"C,D,G,H",4
L821,L821,"A,B,C,D,G",5
L822,L822,"C,D,G",3
L823,L823,"A,C,D,G",4
L824,L824,"A,D,G,H",4
L825,L825,"A,B,C,D,G",5
L826,L826,"A,D,G",3
L827,L827,"C,D",2
L828,L828,"C,D",2
L829,L829,"C,D,G",3
L83,L83,"C,D,G",3
L830,L830,"A,C,D,G",4
L831,L831,"C,D,G,H",4
L833,L833,"C,D,H",3
L835,L835,"A,G,H",3
L836,L836,"C,D,H",3
L838,L838,"A,C,D",3
L839,L839,"C,D,G,H",4
L840,L840,"A,C,D,G",4
L841,L841,"D,G",2
L842,L842,"A,C,D,G",4
L843,L843,"A,G,H",3
L844,L844,"B,C,D,G",4
L845,L845,"A,C,D,G",4
L846,L846,"C,D,G",3
L847,L847,"A,C,D,G",4
L848,L848,"A,C,D,G",4
L849,L849,"C,D,H",3
L85,L85,"A,C,D,G,H",5
L850,L850,"A,B,C,D,G",5
L851,L851,"C,D,G",3
L852,L852,"C,D,G",3
L853,L853,"A,D,G",3
L854,L854,"A,C,D",3
L855,L855,"C,D,G,H",4
L856,L856,"C,D,G,H",4
L857,L857,"A,C,D,G",4
L858,L858,"B,C,D,G",4
L859,L859,"A,G",2
L86,L86,"C,D",2
L860,L860,"C,D,H",3
L861,L861,"C,D,H",3
L862,L862,"C,D,G,H",4
L863,L863,"C,D",2
L864,L864,"C,D,G",3
L865,L865,"C,D,G,H",4
L866,L866,"C,D,G",3
L867,L867,"A,G,H",3
L869,L869,"A,B,C,D,G,H",6
L87,L87,"A,C,D,G,H",5
L870,L870,"A,C,D,G,H",5
L871,L871,"A,C,D,G",4
L872,L872,"C,D,G",3
L873,L873,"A,G",2
L874,L874,"A,C,D,G,H",5
L875,L875,"C,D,G",3
L876,L876,"C,D,G",3
L877,L877,"C,D",2
L878,L878,G,1
L879,L879,"A,G",2
L88,L88,"C,D",2
L880,L880,"C,D,G",3
L881,L881,"C,D",2
L882,L882,"C,D,G",3
L883,L883,"A,C,D,G",4
L884,L884,"C,D,G",3
L885,L885,"A,G",2
L886,L886,"C,D",2
L887,L887,"A,C,D,G",4
L888,L888,"A,D,G",3
L889,L889,"A,C,D,G,H",5
L89,L89,"A,G",2
L890,L890,"A,B,G,H",4
L891,L891,"C,D,G",3
L892,L892,"A,C,D,G,H",5
L893,L893,"A,C,D,G",4
L894,L894,"A,C,D,G",4
L895,L895,G,1
L896,L896,"A,D,G,H",4
L897,L897,"A,C,D,G,H",5
L898,L898,"A,G",2
L899,L899,"B,C,D,G",4
