exclude,exclude_query,query_genus,query_family,query_subfamily,exclude_target,target_genus,target_family,target_subfamily,i_query,i_target,c_contaminated_score,composite_score,query_qubit,target_qubit,concentration_difference,concentration_ratio,plate_query,plate_target,query_plate_x,query_plate_y,target_plate_x,target_plate_y,qt_plate_distance,overlap_type,s_locus_overlap,s_same_locus,s_proportional_length,s_taxon_difference,s_plate_similarity,x_concentration_difference,s_concentration_ratio,s_proportional_difference,s_column_identity,cs_exact_match_different_locus,query_locus,target_locus,percent_similarity,length_of_match,query_length,target_length,unmatched_basepairs,gap_open,qstart,qend,tstart,tend,evalue,ucd_genus_query_id,ucd_genus_target_id,target_seq,query_seq
0,0,Tanaostigmodes,Tanaostigmatidae,,0,Tanaostigma,Tanaostigmatidae,,I23223,I8171,1,3,0.436,,,,2,,1,4,10,11,,C,1,1,1,0,0,0,0,0,0,1,L1001,L1001,99.60,747,1343,747,2,1,561,1306,1,747,0.0,457060,457097,L1001_MERG00363_0101_SUPERCONTIG,L1001_MERG00362_0101_SUPERCONTIG
2,1,Cales,Aphelinidae,Calesinae,1,Proarescon,Mymaridae,,I28984,I28992,3,6,.212,0.294,-0.082,0.721,6,6,1,11,2,7,3.162,D,1,1,1,1,1,0,0,1,0,1,L1003,L1003,100.00,323,323,989,0,0,1,323,412,734,1.00E-172,456785,456713,L1003_MERG00027_0101_SUPERCONTIG,L1003_MERG00206_0101_SUPERCONTIG
1,0,Psilochalcis,Chalcididae,Haltichellinae,1,Eusemion,Encyrtidae,Encyrtinae,I23982,I23983,3,6,3.40,0.158,3.242,0.046,3,3,1,8,1,9,2.0,C,1,1,1,1,1,0,0,0,1,1,L1003,L1003,99.33,746,932,746,5,0,91,836,1,746,0.0,456854,456863,L1003_MERG00070_0101_SUPERCONTIG,L1003_MERG00079_0101_SUPERCONTIG
1,1,Eusemion,Encyrtidae,Encyrtinae,0,Psilochalcis,Chalcididae,Haltichellinae,I23983,I23982,3,6,0.158,3.40,-3.242,0.046,3,3,1,9,1,8,2.0,D,1,1,1,1,1,0,0,0,1,1,L1003,L1003,99.33,746,746,932,5,0,1,746,91,836,0.0,456863,456854,L1003_MERG00079_0101_SUPERCONTIG,L1003_MERG00070_0101_SUPERCONTIG
0,0,Tetramesa,Eurytomidae,Eurytominae,0,Aiolomorphus,Eurytomidae,Eurytominae,I21916,I21923,1,4,0.672,3.0,-2.328,0.224,1,1,0,4,0,11,0.0,G,1,1,0,0,1,0,0,0,1,1,L1003,L1003,97.09,481,595,946,13,1,1,480,120,600,0.0,456675,456209,L1003_MERG00169_0101_SUPERCONTIG,L1003_MERG00161_0101_SUPERCONTIG
2,1,Proarescon,Mymaridae,,1,Cales,Aphelinidae,Calesinae,I28992,I28984,3,6,0.294,.212,0.082,0.721,6,6,2,7,1,11,3.162,C,1,1,1,1,1,0,0,1,0,1,L1003,L1003,100.00,323,989,323,0,0,412,734,1,323,4.00E-172,456713,456785,L1003_MERG00206_0101_SUPERCONTIG,L1003_MERG00027_0101_SUPERCONTIG
0,0,Omphalodipara,Pteromalidae,Colotrechninae,0,Zeala,Pteromalidae,Colotrechninae,I28973,I27457,0,3,.196,3.92,-3.724,0.05,6,5,1,0,7,9,,G,1,1,0,0,0,1,1,0,0,1,L1003,L1003,95.02,863,1007,968,38,5,1,860,106,966,0.0,457369,458386,L1003_MERG00268_0101_SUPERCONTIG,L1003_MERG00269_0101_SUPERCONTIG
0,0,Zeala,Pteromalidae,Colotrechninae,0,Omphalodipara,Pteromalidae,Colotrechninae,I27457,I28973,0,3,3.92,.196,3.724,0.05,5,6,7,9,1,0,,A,1,1,0,0,0,1,1,0,0,1,L1003,L1003,95.02,863,968,1007,38,5,106,966,1,860,0.0,458386,457369,L1003_MERG00269_0101_SUPERCONTIG,L1003_MERG00268_0101_SUPERCONTIG
0,0,Aeschylia,Pteromalidae,Ormocerinae,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,I26443,I27454,1,4,1.26,8.82,-7.56,0.143,4,5,5,10,7,6,,C,1,1,1,0,0,1,1,0,0,1,L1003,L1003,99.19,864,1108,864,7,0,183,1046,1,864,0.0,456215,456737,L1003_MERG00310_0101_SUPERCONTIG,L1003_MERG00314_0101_SUPERCONTIG
0,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,0,Aeschylia,Pteromalidae,Ormocerinae,I27454,I26443,1,4,8.82,1.26,7.56,0.143,5,4,7,6,5,10,,D,1,1,1,0,0,1,1,0,0,1,L1003,L1003,99.19,864,864,1108,7,0,1,864,183,1046,0.0,456737,456215,L1003_MERG00314_0101_SUPERCONTIG,L1003_MERG00310_0101_SUPERCONTIG
0,0,Perilampus,Perilampidae,Perilampinae,0,Burksilampus,Perilampidae,Perilampinae,I12630,I16362,0,2,,,,,,,2,0,5,9,,H,1,1,0,0,0,0,0,0,0,1,L1004,L1004,95.61,205,1364,1347,9,0,937,1141,1143,1347,2.00E-91,456225,456773,L1004_MERG00220_0101_SUPERCONTIG,L1004_MERG00214_0101_SUPERCONTIG
0,0,Lanthanomyia,Pteromalidae,Coelocybinae,0,Proshizonotus,Pteromalidae,Cleonyminae,I24040,I23215,1,3,0.464,0.570,-0.106,0.814,3,2,6,6,0,8,,H,1,1,0,1,0,0,0,0,0,1,L1004,L1004,97.37,76,779,1122,2,0,704,779,977,1052,1.00E-31,457618,456621,L1004_MERG00259_0101_SUPERCONTIG,L1004_MERG00254_0101_SUPERCONTIG
0,0,Aeschylia,Pteromalidae,Ormocerinae,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,I26443,I27454,1,4,1.26,8.82,-7.56,0.143,4,5,5,10,7,6,,C,1,1,1,0,0,1,1,0,0,1,L1004,L1004,99.56,681,1287,680,2,1,400,1080,1,680,0.0,456215,456737,L1004_MERG00310_0101_SUPERCONTIG,L1004_MERG00314_0101_SUPERCONTIG
0,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,0,Aeschylia,Pteromalidae,Ormocerinae,I27454,I26443,1,4,8.82,1.26,7.56,0.143,5,4,7,6,5,10,,D,1,1,1,0,0,1,1,0,0,1,L1004,L1004,99.56,681,680,1287,2,1,1,680,400,1080,0.0,456737,456215,L1004_MERG00314_0101_SUPERCONTIG,L1004_MERG00310_0101_SUPERCONTIG
0,0,Eurytoma,Eurytomidae,Eurytominae,0,Masneroma,Eurytomidae,Eurytominae,I8160,I24015,0,2,,4.32,,,,3,10,0,4,5,,G,1,1,0,0,0,0,0,0,0,1,L1005,L1005,96.82,817,863,908,26,0,47,863,9,825,0.0,456255,457696,L1005_MERG00165_0101_SUPERCONTIG,L1005_MERG00166_0101_SUPERCONTIG
0,0,Masneroma,Eurytomidae,Eurytominae,0,Eurytoma,Eurytomidae,Eurytominae,I24015,I8160,0,2,4.32,,,,3,,4,5,10,0,,G,1,1,0,0,0,0,0,0,0,1,L1005,L1005,96.82,817,908,863,26,0,9,825,47,863,0.0,457696,456255,L1005_MERG00166_0101_SUPERCONTIG,L1005_MERG00165_0101_SUPERCONTIG
0,0,Systole,Eurytomidae,Eurytominae,0,Tetramesa,Eurytomidae,Eurytominae,I21924,I21916,2,4,1.34,0.672,0.668,0.501,1,1,1,0,0,4,1.414,G,1,1,1,0,1,0,0,0,0,1,L1005,L1005,95.18,954,1130,985,45,1,3,956,26,978,0.0,457330,456675,L1005_MERG00168_0101_SUPERCONTIG,L1005_MERG00169_0101_SUPERCONTIG
0,0,Tetramesa,Eurytomidae,Eurytominae,0,Systole,Eurytomidae,Eurytominae,I21916,I21924,2,4,0.672,1.34,-0.668,0.501,1,1,0,4,1,0,1.414,G,1,1,1,0,1,0,0,0,0,1,L1005,L1005,95.18,954,985,1130,45,1,26,978,3,956,0.0,456675,457330,L1005_MERG00169_0101_SUPERCONTIG,L1005_MERG00168_0101_SUPERCONTIG
0,0,Bootanomyia,Megastigmidae,,0,Megastigmus,Megastigmidae,,I26440,I23231,0,2,2.92,fail,,,4,2,5,7,2,0,,H,1,1,0,0,0,0,0,0,0,1,L1005,L1005,96.10,77,1671,1437,3,0,1595,1671,729,805,4.00E-30,456707,457065,L1005_MERG00181_0101_SUPERCONTIG,L1005_MERG00185_0101_SUPERCONTIG
0,0,Megastigmus,Megastigmidae,,0,Bootanomyia,Megastigmidae,,I24050,I26440,0,3,2.01,2.92,-0.91,0.688,3,4,7,4,5,7,,H,1,1,0,0,0,0,0,0,0,1,L1005,L1005,97.40,77,1039,1671,2,0,605,681,1595,1671,6.00E-32,457065,456707,L1005_MERG00184_0101_SUPERCONTIG,L1005_MERG00181_0101_SUPERCONTIG
0,0,Megastigmus,Megastigmidae,,0,Bootanomyia,Megastigmidae,,I23231,I26440,0,2,fail,2.92,,,2,4,2,0,5,7,,H,1,1,0,0,0,0,0,0,0,1,L1005,L1005,96.10,77,1437,1671,3,0,729,805,1595,1671,4.00E-30,457065,456707,L1005_MERG00185_0101_SUPERCONTIG,L1005_MERG00181_0101_SUPERCONTIG
0,0,Omphalodipara,Pteromalidae,Colotrechninae,0,Zeala,Pteromalidae,Colotrechninae,I28973,I27457,0,3,.196,3.92,-3.724,0.05,6,5,1,0,7,9,,A,1,1,0,0,0,1,1,0,0,1,L1005,L1005,96.06,940,1067,1122,37,0,122,1061,1,940,0.0,457369,458386,L1005_MERG00268_0101_SUPERCONTIG,L1005_MERG00269_0101_SUPERCONTIG
0,0,Zeala,Pteromalidae,Colotrechninae,0,Omphalodipara,Pteromalidae,Colotrechninae,I27457,I28973,0,3,3.92,.196,3.724,0.05,5,6,7,9,1,0,,G,1,1,0,0,0,1,1,0,0,1,L1005,L1005,96.06,940,1122,1067,37,0,1,940,122,1061,0.0,458386,457369,L1005_MERG00269_0101_SUPERCONTIG,L1005_MERG00268_0101_SUPERCONTIG
0,0,Aeschylia,Pteromalidae,Ormocerinae,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,I26443,I27454,1,4,1.26,8.82,-7.56,0.143,4,5,5,10,7,6,,C,1,1,1,0,0,1,1,0,0,1,L1005,L1005,99.35,1078,1288,1078,7,0,122,1199,1,1078,0.0,456215,456737,L1005_MERG00310_0101_SUPERCONTIG,L1005_MERG00314_0101_SUPERCONTIG
0,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,0,Aeschylia,Pteromalidae,Ormocerinae,I27454,I26443,1,4,8.82,1.26,7.56,0.143,5,4,7,6,5,10,,D,1,1,1,0,0,1,1,0,0,1,L1005,L1005,99.35,1078,1078,1288,7,0,1,1078,122,1199,0.0,456737,456215,L1005_MERG00314_0101_SUPERCONTIG,L1005_MERG00310_0101_SUPERCONTIG
0,0,Idarnes,Agaonidae,Sycophaginae,0,Pseudidarnes,Agaonidae,Sycophaginae,I23252,I29052,0,2,5.56,7.8,-2.24,0.713,2,6,3,9,7,7,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.64,413,948,880,18,0,289,701,175,587,0.0,457381,458094,L1006_MERG00009_0101_SUPERCONTIG,L1006_MERG00010_0101_SUPERCONTIG
0,0,Pseudidarnes,Agaonidae,Sycophaginae,0,Idarnes,Agaonidae,Sycophaginae,I29052,I23252,0,2,7.8,5.56,2.24,0.713,6,2,7,7,3,9,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.64,413,880,948,18,0,175,587,289,701,0.0,458094,457381,L1006_MERG00010_0101_SUPERCONTIG,L1006_MERG00009_0101_SUPERCONTIG
0,0,Colocharis,Eucharitidae,Eucharitinae,0,Kapala,Eucharitidae,Eucharitinae,I12647,I12623,0,2,,,,,,,3,5,1,5,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.26,380,814,1439,18,0,1,380,521,900,6.00E-174,457012,456824,L1006_MERG00097_0101_SUPERCONTIG,L1006_MERG00099_0101_SUPERCONTIG
0,0,Colocharis,Eucharitidae,Eucharitinae,0,Kapala,Eucharitidae,Eucharitinae,I12647,I12623,0,2,,,,,,,3,5,1,5,,H,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.76,330,814,1439,14,0,454,783,1009,1338,8.00E-153,457012,456824,L1006_MERG00097_0101_SUPERCONTIG,L1006_MERG00099_0101_SUPERCONTIG
0,0,Kapala,Eucharitidae,Eucharitinae,0,Colocharis,Eucharitidae,Eucharitinae,I12623,I12647,0,2,,,,,,,1,5,3,5,,A,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.26,380,1439,814,18,0,521,900,1,380,1.00E-173,456824,457012,L1006_MERG00099_0101_SUPERCONTIG,L1006_MERG00097_0101_SUPERCONTIG
0,0,Kapala,Eucharitidae,Eucharitinae,0,Colocharis,Eucharitidae,Eucharitinae,I12623,I12647,0,2,,,,,,,1,5,3,5,,H,1,1,0,0,0,0,0,0,0,1,L1006,L1006,95.76,330,1439,814,14,0,1009,1338,454,783,1.00E-152,456824,457012,L1006_MERG00099_0101_SUPERCONTIG,L1006_MERG00097_0101_SUPERCONTIG
0,0,Bruchodape,Eurytomidae,Eurytominae,0,Tetramesa,Eurytomidae,Eurytominae,I21915,I21916,1,4,1.18,0.672,0.508,0.569,1,1,0,3,0,4,0.0,G,1,1,0,0,1,0,0,0,1,1,L1006,L1006,96.00,425,713,1074,17,0,113,537,354,778,0.0,456759,456675,L1006_MERG00163_0101_SUPERCONTIG,L1006_MERG00169_0101_SUPERCONTIG
0,0,Endobia,Eurytomidae,Eurytominae,0,Tetramesa,Eurytomidae,Eurytominae,I21935,I21916,0,2,0.79,0.672,0.118,0.851,,1,6,1,0,4,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,97.16,422,1180,1074,12,0,360,781,358,779,0.0,457215,456675,L1006_MERG00164_0101_SUPERCONTIG,L1006_MERG00169_0101_SUPERCONTIG
0,0,Masneroma,Eurytomidae,Eurytominae,0,Aiolomorphus,Eurytomidae,Eurytominae,I24015,I21923,0,3,4.32,3.0,1.32,0.694,3,1,4,5,0,11,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,96.80,437,877,908,13,1,220,656,237,672,0.0,457696,456209,L1006_MERG00166_0101_SUPERCONTIG,L1006_MERG00161_0101_SUPERCONTIG
0,0,Chrysolampus,Perilampidae,Chrysolampinae,0,Idarnotorymus,Torymidae,Erimerinae,I8165,I28994,1,3,,.566,,,,6,10,5,2,9,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.05,424,1153,931,21,0,365,788,203,626,0.0,456943,457527,L1006_MERG00212_0101_SUPERCONTIG,L1006_MERG00376_0101_SUPERCONTIG
0,0,Spalangiopelta,Pteromalidae,Ceinae,0,Grooca,Pteromalidae,Cleonyminae,I24055,I29048,1,4,0.369,3.94,-3.571,0.094,3,6,7,9,7,3,,G,1,1,0,1,0,1,1,0,0,1,L1006,L1006,96.07,407,900,1154,16,0,237,643,417,823,0.0,458206,457423,L1006_MERG00234_0101_SUPERCONTIG,L1006_MERG00247_0101_SUPERCONTIG
0,0,Nepistenia,Pteromalidae,Cleonyminae,0,Ormocerus,Pteromalidae,Pteromalinae,I27452,I24033,1,3,4.30,5.36,-1.06,0.802,5,3,7,4,5,11,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.01,421,946,844,21,0,272,692,234,654,0.0,456394,457512,L1006_MERG00250_0101_SUPERCONTIG,L1006_MERG00318_0101_SUPERCONTIG
0,0,Coelocyba,Pteromalidae,Coelocybinae,0,Lanthanomyia,Pteromalidae,Coelocybinae,I24020,I24040,1,3,0.452,0.464,-0.012,0.974,3,3,4,10,6,6,10.198,G,1,1,0,0,1,0,0,0,0,1,L1006,L1006,95.32,406,921,943,19,0,257,662,242,647,0.0,457004,457618,L1006_MERG00258_0101_SUPERCONTIG,L1006_MERG00259_0101_SUPERCONTIG
0,0,Lanthanomyia,Pteromalidae,Coelocybinae,0,Coelocyba,Pteromalidae,Coelocybinae,I24040,I24020,1,3,0.464,0.452,0.012,0.974,3,3,6,6,4,10,10.198,G,1,1,0,0,1,0,0,0,0,1,L1006,L1006,95.32,406,943,921,19,0,242,647,257,662,0.0,457618,457004,L1006_MERG00259_0101_SUPERCONTIG,L1006_MERG00258_0101_SUPERCONTIG
0,0,Amerostenus,Pteromalidae,Colotrechninae,0,Grooca,Pteromalidae,Cleonyminae,I27440,I29048,1,4,1.41,3.94,-2.53,0.358,5,6,6,3,7,3,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.59,408,1001,1154,18,0,287,694,416,823,0.0,456328,457423,L1006_MERG00263_0101_SUPERCONTIG,L1006_MERG00247_0101_SUPERCONTIG
0,0,Hetreulophus,Pteromalidae,Colotrechninae,0,Ogloblinisca,Pteromalidae,Pteromalinae,I23226,I8168,1,3,0.856,,,,2,,1,7,10,8,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.09,428,865,940,20,1,221,648,256,682,0.0,457490,457883,L1006_MERG00267_0101_SUPERCONTIG,L1006_MERG00338_0101_SUPERCONTIG
0,0,Zeala,Pteromalidae,Colotrechninae,0,Hetreulophus,Pteromalidae,Colotrechninae,I27457,I23226,0,3,3.92,0.856,3.064,0.218,5,2,7,9,1,7,,G,1,1,0,0,0,1,1,0,0,1,L1006,L1006,96.31,406,913,865,15,0,254,659,236,641,0.0,458386,457490,L1006_MERG00269_0101_SUPERCONTIG,L1006_MERG00267_0101_SUPERCONTIG
0,0,Papuopsia,Pteromalidae,Erotolepsiinae,0,Grooca,Pteromalidae,Cleonyminae,I26379,I29048,1,4,0.650,3.94,-3.29,0.165,4,6,0,6,7,3,,G,1,1,0,1,0,1,1,0,0,1,L1006,L1006,95.61,410,1023,1154,18,0,286,695,409,818,0.0,457936,457423,L1006_MERG00281_0101_SUPERCONTIG,L1006_MERG00247_0101_SUPERCONTIG
0,0,Aeschylia,Pteromalidae,Ormocerinae,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,I26443,I27454,1,4,1.26,8.82,-7.56,0.143,4,5,5,10,7,6,,A,1,1,1,0,0,1,1,0,0,1,L1006,L1006,97.32,820,878,848,16,3,63,878,1,818,0.0,456215,456737,L1006_MERG00310_0101_SUPERCONTIG,L1006_MERG00314_0101_SUPERCONTIG
0,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,0,Aeschylia,Pteromalidae,Ormocerinae,I27454,I26443,1,4,8.82,1.26,7.56,0.143,5,4,7,6,5,10,,G,1,1,1,0,0,1,1,0,0,1,L1006,L1006,97.32,820,848,878,16,3,1,818,63,878,0.0,456737,456215,L1006_MERG00314_0101_SUPERCONTIG,L1006_MERG00310_0101_SUPERCONTIG
0,0,Ormocerus,Pteromalidae,Pteromalinae,0,Nepistenia,Pteromalidae,Cleonyminae,I24033,I27452,1,3,5.36,4.30,1.06,0.802,3,5,5,11,7,4,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.01,421,844,946,21,0,234,654,272,692,0.0,457512,456394,L1006_MERG00318_0101_SUPERCONTIG,L1006_MERG00250_0101_SUPERCONTIG
0,0,Ogloblinisca,Pteromalidae,Pteromalinae,0,Hetreulophus,Pteromalidae,Colotrechninae,I8168,I23226,1,3,,0.856,,,,2,10,8,1,7,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.09,428,940,865,20,1,256,682,221,648,0.0,457883,457490,L1006_MERG00338_0101_SUPERCONTIG,L1006_MERG00267_0101_SUPERCONTIG
0,0,Protanaostigma,Tanaostigmatidae,,0,Endobia,Eurytomidae,Eurytominae,I23220,I21935,1,4,0.444,0.79,-0.346,0.562,2,,1,1,6,1,,G,1,1,0,1,0,0,0,0,0,1,L1006,L1006,95.01,421,946,1180,19,2,197,616,360,779,0.0,458084,457215,L1006_MERG00361_0101_SUPERCONTIG,L1006_MERG00164_0101_SUPERCONTIG
0,0,Tanaostigma,Tanaostigmatidae,,0,Tanaostigmodes,Tanaostigmatidae,,I8171,I23223,0,2,,0.436,,,,2,10,11,1,4,,A,1,1,0,0,0,0,0,0,0,1,L1006,L1006,97.60,917,1077,1036,1,3,91,1004,1,899,0.0,457097,457060,L1006_MERG00362_0101_SUPERCONTIG,L1006_MERG00363_0101_SUPERCONTIG
0,0,Tanaostigmodes,Tanaostigmatidae,,0,Tanaostigma,Tanaostigmatidae,,I23223,I8171,0,2,0.436,,,,2,,1,4,10,11,,G,1,1,0,0,0,0,0,0,0,1,L1006,L1006,97.60,917,1036,1077,1,3,1,899,91,1004,0.0,457060,457097,L1006_MERG00363_0101_SUPERCONTIG,L1006_MERG00362_0101_SUPERCONTIG
