contamination,query_genus,target_genus,query_seq,I# query,target_seq,I# target,%similarity,length of match (bp),mismatch,gapopen, qstart ,qend ,qlength,tstart ,tend ,tlength,evalue,note
,Tanaostigma,Tanaostigmodes,L1001_MERG00362_0101_SUPERCONTIG,I8171,L1001_MERG00363_0101_SUPERCONTIG,I23223,99.60,747,2,1,1,747,747,561,1306,1343,0.0,99.253
,Tanaostigmodes,Tanaostigma,L1001_MERG00363_0101_SUPERCONTIG,I23223,L1001_MERG00362_0101_SUPERCONTIG,I8171,99.60,747,2,1,561,1306,1343,1,747,747,0.0,99.253
,Cales,Proarescon,L1003_MERG00027_0101_SUPERCONTIG,I28984,L1003_MERG00206_0101_SUPERCONTIG,I28992,100.00,323,0,0,1,323,323,412,734,989,1.00E-172,99.677
,Psilochalcis,Eusemion,L1003_MERG00070_0101_SUPERCONTIG,I23982,L1003_MERG00079_0101_SUPERCONTIG,I23983,99.33,746,5,0,91,836,932,1,746,746,0.0,99.254
,Eusemion,Psilochalcis,L1003_MERG00079_0101_SUPERCONTIG,I23983,L1003_MERG00070_0101_SUPERCONTIG,I23982,99.33,746,5,0,1,746,746,91,836,932,0.0,99.254
,Tetramesa,Aiolomorphus,L1003_MERG00169_0101_SUPERCONTIG,I21916,L1003_MERG00161_0101_SUPERCONTIG,I21923,97.09,481,13,1,1,480,595,120,600,946,0.0,99.519
,Proarescon,Cales,L1003_MERG00206_0101_SUPERCONTIG,I28992,L1003_MERG00027_0101_SUPERCONTIG,I28984,100.00,323,0,0,412,734,989,1,323,323,4.00E-172,99.677
,Omphalodipara,Zeala,L1003_MERG00268_0101_SUPERCONTIG,I28973,L1003_MERG00269_0101_SUPERCONTIG,I27457,95.02,863,38,5,1,860,1007,106,966,968,0.0,99.137
,Zeala,Omphalodipara,L1003_MERG00269_0101_SUPERCONTIG,I27457,L1003_MERG00268_0101_SUPERCONTIG,I28973,95.02,863,38,5,106,966,968,1,860,1007,0.0,99.137
,Aeschylia,Brachyscelidiphaga,L1003_MERG00310_0101_SUPERCONTIG,I26443,L1003_MERG00314_0101_SUPERCONTIG,I27454,99.19,864,7,0,183,1046,1108,1,864,864,0.0,99.136
,Brachyscelidiphaga,Aeschylia,L1003_MERG00314_0101_SUPERCONTIG,I27454,L1003_MERG00310_0101_SUPERCONTIG,I26443,99.19,864,7,0,1,864,864,183,1046,1108,0.0,99.136
,Perilampus,Burksilampus,L1004_MERG00220_0101_SUPERCONTIG,I12630,L1004_MERG00214_0101_SUPERCONTIG,I16362,95.61,205,9,0,937,1141,1364,1143,1347,1347,2.00E-91,99.795
,Lanthanomyia,Proshizonotus,L1004_MERG00259_0101_SUPERCONTIG,I24040,L1004_MERG00254_0101_SUPERCONTIG,I23215,97.37,76,2,0,704,779,779,977,1052,1122,1.00E-31,99.924
,Aeschylia,Brachyscelidiphaga,L1004_MERG00310_0101_SUPERCONTIG,I26443,L1004_MERG00314_0101_SUPERCONTIG,I27454,99.56,681,2,1,400,1080,1287,1,680,680,0.0,99.319
,Brachyscelidiphaga,Aeschylia,L1004_MERG00314_0101_SUPERCONTIG,I27454,L1004_MERG00310_0101_SUPERCONTIG,I26443,99.56,681,2,1,1,680,680,400,1080,1287,0.0,99.319
,Eurytoma,Masneroma,L1005_MERG00165_0101_SUPERCONTIG,I8160,L1005_MERG00166_0101_SUPERCONTIG,I24015,96.82,817,26,0,47,863,863,9,825,908,0.0,99.183
,Masneroma,Eurytoma,L1005_MERG00166_0101_SUPERCONTIG,I24015,L1005_MERG00165_0101_SUPERCONTIG,I8160,96.82,817,26,0,9,825,908,47,863,863,0.0,99.183
,Systole,Tetramesa,L1005_MERG00168_0101_SUPERCONTIG,I21924,L1005_MERG00169_0101_SUPERCONTIG,I21916,95.18,954,45,1,3,956,1130,26,978,985,0.0,99.046
,Tetramesa,Systole,L1005_MERG00169_0101_SUPERCONTIG,I21916,L1005_MERG00168_0101_SUPERCONTIG,I21924,95.18,954,45,1,26,978,985,3,956,1130,0.0,99.046
,Bootanomyia,Megastigmus,L1005_MERG00181_0101_SUPERCONTIG,I26440,L1005_MERG00185_0101_SUPERCONTIG,I23231,96.10,77,3,0,1595,1671,1671,729,805,1437,4.00E-30,99.923
,Megastigmus,Bootanomyia,L1005_MERG00184_0101_SUPERCONTIG,I24050,L1005_MERG00181_0101_SUPERCONTIG,I26440,97.40,77,2,0,605,681,1039,1595,1671,1671,6.00E-32,99.923
,Megastigmus,Bootanomyia,L1005_MERG00185_0101_SUPERCONTIG,I23231,L1005_MERG00181_0101_SUPERCONTIG,I26440,96.10,77,3,0,729,805,1437,1595,1671,1671,4.00E-30,99.923
,Omphalodipara,Zeala,L1005_MERG00268_0101_SUPERCONTIG,I28973,L1005_MERG00269_0101_SUPERCONTIG,I27457,96.06,940,37,0,122,1061,1067,1,940,1122,0.0,99.06
,Zeala,Omphalodipara,L1005_MERG00269_0101_SUPERCONTIG,I27457,L1005_MERG00268_0101_SUPERCONTIG,I28973,96.06,940,37,0,1,940,1122,122,1061,1067,0.0,99.06
,Aeschylia,Brachyscelidiphaga,L1005_MERG00310_0101_SUPERCONTIG,I26443,L1005_MERG00314_0101_SUPERCONTIG,I27454,99.35,1078,7,0,122,1199,1288,1,1078,1078,0.0,98.922
,Brachyscelidiphaga,Aeschylia,L1005_MERG00314_0101_SUPERCONTIG,I27454,L1005_MERG00310_0101_SUPERCONTIG,I26443,99.35,1078,7,0,1,1078,1078,122,1199,1288,0.0,98.922
,Idarnes,Pseudidarnes,L1006_MERG00009_0101_SUPERCONTIG,I23252,L1006_MERG00010_0101_SUPERCONTIG,I29052,95.64,413,18,0,289,701,948,175,587,880,0.0,99.587
,Pseudidarnes,Idarnes,L1006_MERG00010_0101_SUPERCONTIG,I29052,L1006_MERG00009_0101_SUPERCONTIG,I23252,95.64,413,18,0,175,587,880,289,701,948,0.0,99.587
,Colocharis,Kapala,L1006_MERG00097_0101_SUPERCONTIG,I12647,L1006_MERG00099_0101_SUPERCONTIG,I12623,95.26,380,18,0,1,380,814,521,900,1439,6.00E-174,99.62
,Colocharis,Kapala,L1006_MERG00097_0101_SUPERCONTIG,I12647,L1006_MERG00099_0101_SUPERCONTIG,I12623,95.76,330,14,0,454,783,814,1009,1338,1439,8.00E-153,99.67
,Kapala,Colocharis,L1006_MERG00099_0101_SUPERCONTIG,I12623,L1006_MERG00097_0101_SUPERCONTIG,I12647,95.26,380,18,0,521,900,1439,1,380,814,1.00E-173,99.62
,Kapala,Colocharis,L1006_MERG00099_0101_SUPERCONTIG,I12623,L1006_MERG00097_0101_SUPERCONTIG,I12647,95.76,330,14,0,1009,1338,1439,454,783,814,1.00E-152,99.67
,Bruchodape,Tetramesa,L1006_MERG00163_0101_SUPERCONTIG,I21915,L1006_MERG00169_0101_SUPERCONTIG,I21916,96.00,425,17,0,113,537,713,354,778,1074,0.0,99.575
,Endobia,Tetramesa,L1006_MERG00164_0101_SUPERCONTIG,I21935,L1006_MERG00169_0101_SUPERCONTIG,I21916,97.16,422,12,0,360,781,1180,358,779,1074,0.0,99.578
,Masneroma,Aiolomorphus,L1006_MERG00166_0101_SUPERCONTIG,I24015,L1006_MERG00161_0101_SUPERCONTIG,I21923,96.80,437,13,1,220,656,877,237,672,908,0.0,99.563
,Chrysolampus,Idarnotorymus,L1006_MERG00212_0101_SUPERCONTIG,I8165,L1006_MERG00376_0101_SUPERCONTIG,I28994,95.05,424,21,0,365,788,1153,203,626,931,0.0,99.576
,Spalangiopelta,Grooca,L1006_MERG00234_0101_SUPERCONTIG,I24055,L1006_MERG00247_0101_SUPERCONTIG,I29048,96.07,407,16,0,237,643,900,417,823,1154,0.0,99.593
,Nepistenia,Ormocerus,L1006_MERG00250_0101_SUPERCONTIG,I27452,L1006_MERG00318_0101_SUPERCONTIG,I24033,95.01,421,21,0,272,692,946,234,654,844,0.0,99.579
,Coelocyba,Lanthanomyia,L1006_MERG00258_0101_SUPERCONTIG,I24020,L1006_MERG00259_0101_SUPERCONTIG,I24040,95.32,406,19,0,257,662,921,242,647,943,0.0,99.594
,Lanthanomyia,Coelocyba,L1006_MERG00259_0101_SUPERCONTIG,I24040,L1006_MERG00258_0101_SUPERCONTIG,I24020,95.32,406,19,0,242,647,943,257,662,921,0.0,99.594
,Amerostenus,Grooca,L1006_MERG00263_0101_SUPERCONTIG,I27440,L1006_MERG00247_0101_SUPERCONTIG,I29048,95.59,408,18,0,287,694,1001,416,823,1154,0.0,99.592
,Hetreulophus,Ogloblinisca,L1006_MERG00267_0101_SUPERCONTIG,I23226,L1006_MERG00338_0101_SUPERCONTIG,I8168,95.09,428,20,1,221,648,865,256,682,940,0.0,99.572
,Zeala,Hetreulophus,L1006_MERG00269_0101_SUPERCONTIG,I27457,L1006_MERG00267_0101_SUPERCONTIG,I23226,96.31,406,15,0,254,659,913,236,641,865,0.0,99.594
,Papuopsia,Grooca,L1006_MERG00281_0101_SUPERCONTIG,I26379,L1006_MERG00247_0101_SUPERCONTIG,I29048,95.61,410,18,0,286,695,1023,409,818,1154,0.0,99.59
,Aeschylia,Brachyscelidiphaga,L1006_MERG00310_0101_SUPERCONTIG,I26443,L1006_MERG00314_0101_SUPERCONTIG,I27454,97.32,820,16,3,63,878,878,1,818,848,0.0,99.18
,Brachyscelidiphaga,Aeschylia,L1006_MERG00314_0101_SUPERCONTIG,I27454,L1006_MERG00310_0101_SUPERCONTIG,I26443,97.32,820,16,3,1,818,848,63,878,878,0.0,99.18
,Ormocerus,Nepistenia,L1006_MERG00318_0101_SUPERCONTIG,I24033,L1006_MERG00250_0101_SUPERCONTIG,I27452,95.01,421,21,0,234,654,844,272,692,946,0.0,99.579
,Ogloblinisca,Hetreulophus,L1006_MERG00338_0101_SUPERCONTIG,I8168,L1006_MERG00267_0101_SUPERCONTIG,I23226,95.09,428,20,1,256,682,940,221,648,865,0.0,99.572
,Protanaostigma,Endobia,L1006_MERG00361_0101_SUPERCONTIG,I23220,L1006_MERG00164_0101_SUPERCONTIG,I21935,95.01,421,19,2,197,616,946,360,779,1180,0.0,99.579
,Tanaostigma,Tanaostigmodes,L1006_MERG00362_0101_SUPERCONTIG,I8171,L1006_MERG00363_0101_SUPERCONTIG,I23223,97.60,917,1,3,91,1004,1077,1,899,1036,0.0,99.083
,Tanaostigmodes,Tanaostigma,L1006_MERG00363_0101_SUPERCONTIG,I23223,L1006_MERG00362_0101_SUPERCONTIG,I8171,97.60,917,1,3,1,899,1036,91,1004,1077,0.0,99.083
,Adontomerus,Microdontomerus,L1006_MERG00375_0101_SUPERCONTIG,I29034,L1006_MERG00377_0101_SUPERCONTIG,I29033,95.51,423,19,0,389,811,1184,454,876,1272,0.0,99.577
,Idarnotorymus,Chrysolampus,L1006_MERG00376_0101_SUPERCONTIG,I28994,L1006_MERG00212_0101_SUPERCONTIG,I8165,95.05,424,21,0,203,626,931,365,788,1153,0.0,99.576
,Microdontomerus,Macromesus,L1006_MERG00377_0101_SUPERCONTIG,I29033,L1006_MERG00304_0101_SUPERCONTIG,I23225,95.73,422,18,0,454,875,1272,318,739,993,0.0,99.578
,Odopoia,Idarnotorymus,L1006_MERG00384_0101_SUPERCONTIG,I28991,L1006_MERG00376_0101_SUPERCONTIG,I28994,95.10,408,20,0,102,509,685,216,623,931,0.0,99.592
,Centrodora,Mesopeltita,L1007_MERG00016_0101_SUPERCONTIG,I26390,L1007_MERG00286_0101_SUPERCONTIG,I26387,100.00,340,0,0,1,340,340,161,500,850,0.0,99.66
,Kapala,Colocharis,L1007_MERG00099_0101_SUPERCONTIG,I12623,L1007_MERG00097_0101_SUPERCONTIG,I12647,97.47,633,16,0,54,686,687,65,697,1144,0.0,99.367
,Kapala,Colocharis,L1007_MERG00099_0101_SUPERCONTIG,I12623,L1007_MERG00097_0101_SUPERCONTIG,I12647,100.00,55,0,0,1,55,687,635,581,1144,2.00E-23,99.945
,Timioderus,Australosema,L1007_MERG00109_0101_SUPERCONTIG,I9733,L1007_MERG00106_0101_SUPERCONTIG,I12626,95.69,742,32,0,1,742,742,144,885,1030,0.0,99.258
,Anagrus,Rotoita,L1007_MERG00190_0101_SUPERCONTIG,I27384,L1007_MERG00354_0101_SUPERCONTIG,I27368,100.00,293,0,0,1,293,293,97,389,637,3.00E-156,99.707
,Colotrechnus,Cameronella,L1007_MERG00266_0101_SUPERCONTIG,I21681,L1007_MERG00265_0101_SUPERCONTIG,I29057,96.45,197,7,0,28,224,810,72,268,401,1.00E-90,99.803
,Mesopeltita,Centrodora,L1007_MERG00286_0101_SUPERCONTIG,I26387,L1007_MERG00016_0101_SUPERCONTIG,I26390,100.00,340,0,0,161,500,850,1,340,340,0.0,99.66
,Aeschylia,Brachyscelidiphaga,L1007_MERG00310_0101_SUPERCONTIG,I26443,L1007_MERG00314_0101_SUPERCONTIG,I27454,99.69,638,2,0,86,723,736,1,638,638,0.0,99.362
,Brachyscelidiphaga,Aeschylia,L1007_MERG00314_0101_SUPERCONTIG,I27454,L1007_MERG00310_0101_SUPERCONTIG,I26443,99.69,638,2,0,1,638,638,86,723,736,0.0,99.362
,Homoporus,Pteromalus,L1007_MERG00336_0101_SUPERCONTIG,I21919,L1007_MERG00342_0101_SUPERCONTIG,I23232,95.09,856,33,5,1,853,855,133,982,1013,0.0,99.144
,Rotoita,Anagrus,L1007_MERG00354_0101_SUPERCONTIG,I27368,L1007_MERG00190_0101_SUPERCONTIG,I27384,100.00,293,0,0,97,389,637,1,293,293,8.00E-156,99.707
,Centrodora,Eutrichosomella,L1008_MERG00016_0101_SUPERCONTIG,I26390,L1008_MERG00019_0101_SUPERCONTIG,I26374,100.00,350,0,0,1,350,350,193,542,559,0.0,99.65
,Eutrichosomella,Centrodora,L1008_MERG00019_0101_SUPERCONTIG,I26374,L1008_MERG00016_0101_SUPERCONTIG,I26390,100.00,350,0,0,193,542,559,1,350,350,0.0,99.65
,Savzdargia,Erotolepsia,L1008_MERG00085_0101_SUPERCONTIG,I27444,L1008_MERG00280_0101_SUPERCONTIG,I21957,95.45,176,8,0,284,459,789,274,449,726,3.00E-77,99.824
,Orasema,Leiosema,L1008_MERG00108_0101_SUPERCONTIG,I21723,L1008_MERG00107_0101_SUPERCONTIG,I16357,95.70,186,8,0,544,729,1315,432,617,1015,1.00E-82,99.814
,Calosota,Agamerion,L1008_MERG00140_0101_SUPERCONTIG,I24010,L1008_MERG00240_0101_SUPERCONTIG,I26466,95.45,176,8,0,285,460,695,358,533,980,2.00E-77,99.824
,Monacon,Steffanolampus,L1008_MERG00217_0101_SUPERCONTIG,I12629,L1008_MERG00221_0101_SUPERCONTIG,I16359,95.19,187,9,0,936,1122,1255,917,1103,1110,1.00E-81,99.813
,New genus,Masneroma,L1008_MERG00229_0101_SUPERCONTIG,I23221,L1008_MERG00166_0101_SUPERCONTIG,I24015,96.59,176,6,0,546,721,1150,291,466,742,2.00E-80,99.824
,Cea,Microdontomerus,L1008_MERG00233_0101_SUPERCONTIG,I29013,L1008_MERG00377_0101_SUPERCONTIG,I29033,96.07,178,7,0,97,274,778,498,675,1410,4.00E-80,99.822
,Agamerion,Nepistenia,L1008_MERG00240_0101_SUPERCONTIG,I26466,L1008_MERG00250_0101_SUPERCONTIG,I27452,96.13,181,6,1,358,538,980,293,472,769,4.00E-81,99.819
,Nepistenia,Agamerion,L1008_MERG00250_0101_SUPERCONTIG,I27452,L1008_MERG00240_0101_SUPERCONTIG,I26466,96.13,181,6,1,293,472,769,358,538,980,3.00E-81,99.819
,Erotolepsia,Savzdargia,L1008_MERG00280_0101_SUPERCONTIG,I21957,L1008_MERG00085_0101_SUPERCONTIG,I27444,95.45,176,8,0,274,449,726,284,459,789,2.00E-77,99.824
,Aeschylia,Brachyscelidiphaga,L1008_MERG00310_0101_SUPERCONTIG,I26443,L1008_MERG00314_0101_SUPERCONTIG,I27454,98.50,734,10,1,86,819,982,1,733,733,0.0,99.266
,Brachyscelidiphaga,Aeschylia,L1008_MERG00314_0101_SUPERCONTIG,I27454,L1008_MERG00310_0101_SUPERCONTIG,I26443,98.50,734,10,1,1,733,733,86,819,982,0.0,99.266
,Semiotellus,Systasis,L1008_MERG00321_0101_SUPERCONTIG,I23251,L1008_MERG00322_0101_SUPERCONTIG,I26459,95.03,181,9,0,282,462,796,209,389,646,2.00E-78,99.819
,Systasis,Semiotellus,L1008_MERG00322_0101_SUPERCONTIG,I26459,L1008_MERG00321_0101_SUPERCONTIG,I23251,95.03,181,9,0,209,389,646,282,462,796,2.00E-78,99.819
,Odopoia,Cea,L1008_MERG00384_0101_SUPERCONTIG,I28991,L1008_MERG00233_0101_SUPERCONTIG,I29013,95.51,178,8,0,140,317,723,97,274,778,2.00E-78,99.822
,Pleistodontes,Coccophagus,L1009_MERG00003_0101_SUPERCONTIG,I23965,L1009_MERG00033_0101_SUPERCONTIG,I23969,99.70,336,1,0,274,609,659,1,336,336,4.00E-178,99.664
,Coccophagus,Pleistodontes,L1009_MERG00033_0101_SUPERCONTIG,I23969,L1009_MERG00003_0101_SUPERCONTIG,I23965,99.70,336,1,0,1,336,336,274,609,659,2.00E-178,99.664
,Savzdargia,Chrysomalla,L1009_MERG00085_0101_SUPERCONTIG,I27444,L1009_MERG00213_0101_SUPERCONTIG,I21680,95.60,91,3,1,1,90,754,201,291,1116,3.00E-36,99.909
,Euryischia,Zeala,L1009_MERG00092_0101_SUPERCONTIG,I23222,L1009_MERG00269_0101_SUPERCONTIG,I27457,96.32,136,5,0,423,558,1100,268,403,691,5.00E-60,99.864
,Kapala,Colocharis,L1009_MERG00099_0101_SUPERCONTIG,I12623,L1009_MERG00097_0101_SUPERCONTIG,I12647,97.23,289,8,0,590,878,1012,654,942,967,4.00E-140,99.711
,Chrysocharis,Neochrysocharis,L1009_MERG00112_0101_SUPERCONTIG,I23227,L1009_MERG00113_0101_SUPERCONTIG,I27408,96.52,201,6,1,240,440,629,251,450,526,2.00E-92,99.799
,Neochrysocharis,Chrysocharis,L1009_MERG00113_0101_SUPERCONTIG,I27408,L1009_MERG00112_0101_SUPERCONTIG,I23227,96.52,201,6,1,251,450,526,240,440,629,1.00E-92,99.799
,Austrophotismus,Hockeria,L1009_MERG00171_0101_SUPERCONTIG,I21640,L1009_MERG00069_0101_SUPERCONTIG,I21678,96.81,94,2,1,1,93,1002,130,223,1303,2.00E-39,99.906
,Megastigmus,Oligosita,L1009_MERG00184_0101_SUPERCONTIG,I24050,L1009_MERG00397_0101_SUPERCONTIG,I24053,100.00,349,0,0,63,411,644,1,349,349,0.0,99.651
,Cea,Zeala,L1009_MERG00233_0101_SUPERCONTIG,I29013,L1009_MERG00269_0101_SUPERCONTIG,I27457,95.49,133,6,0,332,464,1006,271,403,691,1.00E-56,99.867
,Parepistenia,Epistenia,L1009_MERG00253_0101_SUPERCONTIG,I27418,L1009_MERG00246_0101_SUPERCONTIG,I23214,95.52,134,6,0,292,425,705,436,569,1026,2.00E-57,99.866
,nr Bofuria,Chiloe,L1009_MERG00264_0101_SUPERCONTIG,I24041,L1009_MERG00353_0101_SUPERCONTIG,I24042,100.00,344,0,0,215,558,600,1,344,344,0.0,99.656
,Aeschylia,Brachyscelidiphaga,L1009_MERG00310_0101_SUPERCONTIG,I26443,L1009_MERG00314_0101_SUPERCONTIG,I27454,97.04,609,13,1,23,626,647,1,609,609,0.0,99.391
,Brachyscelidiphaga,Aeschylia,L1009_MERG00314_0101_SUPERCONTIG,I27454,L1009_MERG00310_0101_SUPERCONTIG,I26443,97.04,609,13,1,1,609,609,23,626,647,0.0,99.391
,Diaziella,Pseudometagea,L1009_MERG00349_0101_SUPERCONTIG,I21641,L1009_MERG00101_0101_SUPERCONTIG,I21631,100.00,416,0,0,1,416,416,355,770,1223,0.0,99.584
,Chiloe,nr Bofuria,L1009_MERG00353_0101_SUPERCONTIG,I24042,L1009_MERG00264_0101_SUPERCONTIG,I24041,100.00,344,0,0,1,344,344,215,558,600,0.0,99.656
,Torymoides,Habritys,L1009_MERG00386_0101_SUPERCONTIG,I26413,L1009_MERG00334_0101_SUPERCONTIG,I21959,95.16,62,2,1,835,896,899,799,859,1046,1.00E-21,99.938
,Oligosita,Megastigmus,L1009_MERG00397_0101_SUPERCONTIG,I24053,L1009_MERG00184_0101_SUPERCONTIG,I24050,100.00,349,0,0,1,349,349,63,411,644,0.0,99.651
,Pleistodontes,Coccophagus,L100_MERG00003_0101_SUPERCONTIG,I23965,L100_MERG00033_0101_SUPERCONTIG,I23969,100.00,357,0,0,66,422,513,1,357,357,0.0,99.643
,Coccophagus,Pleistodontes,L100_MERG00033_0101_SUPERCONTIG,I23969,L100_MERG00003_0101_SUPERCONTIG,I23965,100.00,357,0,0,1,357,357,66,422,513,0.0,99.643
,Chiloe,nr Bofuria,L100_MERG00353_0101_SUPERCONTIG,I24042,L100_MERG00264_0101_SUPERCONTIG,I24041,100.00,318,0,0,1,318,318,218,535,581,4.00E-170,99.682
,Idarnotorymus,Adontomerus,L100_MERG00376_0101_SUPERCONTIG,I28994,L100_MERG00375_0101_SUPERCONTIG,I29034,95.29,276,13,0,1,276,276,156,431,750,4.00E-125,99.724
,Colocharis,Kapala,L1010_MERG00097_0101_SUPERCONTIG,I12647,L1010_MERG00099_0101_SUPERCONTIG,I12623,96.10,590,21,2,4,592,592,672,1260,1261,0.0,99.41
,Aeschylia,Brachyscelidiphaga,L1010_MERG00310_0101_SUPERCONTIG,I26443,L1010_MERG00314_0101_SUPERCONTIG,I27454,98.96,575,6,0,88,662,762,1,575,575,0.0,99.425
,Brachyscelidiphaga,Aeschylia,L1010_MERG00314_0101_SUPERCONTIG,I27454,L1010_MERG00310_0101_SUPERCONTIG,I26443,98.96,575,6,0,1,575,575,88,662,762,0.0,99.425
,Colocharis,Kapala,L1011_MERG00097_0101_SUPERCONTIG,I12647,L1011_MERG00099_0101_SUPERCONTIG,I12623,98.07,517,10,0,2,518,518,1,517,1058,0.0,99.483
,Pseudometagea,Diaziella,L1011_MERG00101_0101_SUPERCONTIG,I21631,L1011_MERG00349_0101_SUPERCONTIG,I21641,99.90,1044,1,0,65,1108,1239,1,1044,1044,0.0,98.956
,Australosema,Timioderus,L1011_MERG00106_0101_SUPERCONTIG,I12626,L1011_MERG00109_0101_SUPERCONTIG,I9733,95.78,521,20,2,1,520,520,37,556,808,0.0,99.479
,Tetramesa,Aiolomorphus,L1011_MERG00169_0101_SUPERCONTIG,I21916,L1011_MERG00161_0101_SUPERCONTIG,I21923,96.83,758,23,1,1,758,758,91,847,938,0.0,99.242
,Aeschylia,Brachyscelidiphaga,L1011_MERG00310_0101_SUPERCONTIG,I26443,L1011_MERG00314_0101_SUPERCONTIG,I27454,99.30,717,5,0,1,717,1090,21,737,737,0.0,99.283
,Brachyscelidiphaga,Aeschylia,L1011_MERG00314_0101_SUPERCONTIG,I27454,L1011_MERG00310_0101_SUPERCONTIG,I26443,99.30,717,5,0,21,737,737,1,717,1090,0.0,99.283
,Diaziella,Pseudometagea,L1011_MERG00349_0101_SUPERCONTIG,I21641,L1011_MERG00101_0101_SUPERCONTIG,I21631,99.90,1044,1,0,1,1044,1044,65,1108,1239,0.0,98.956
,Acanthochalcis,Cratocentrus,L1012_MERG00055_0101_SUPERCONTIG,I23977,L1012_MERG00061_0101_SUPERCONTIG,I23233,97.54,122,3,0,759,880,913,589,710,710,2.00E-55,99.878
,Cratocentrus,Acanthochalcis,L1012_MERG00061_0101_SUPERCONTIG,I23233,L1012_MERG00055_0101_SUPERCONTIG,I23977,97.54,122,3,0,589,710,710,759,880,913,1.00E-55,99.878
,Colocharis,Kapala,L1012_MERG00097_0101_SUPERCONTIG,I12647,L1012_MERG00099_0101_SUPERCONTIG,I12623,95.98,249,10,0,1,249,249,518,766,1058,6.00E-115,99.751
,Timioderus,Australosema,L1012_MERG00109_0101_SUPERCONTIG,I9733,L1012_MERG00106_0101_SUPERCONTIG,I12626,95.29,594,25,2,3,595,595,1,592,1063,0.0,99.406
,Eurytoma,Masneroma,L1012_MERG00165_0101_SUPERCONTIG,I8160,L1012_MERG00166_0101_SUPERCONTIG,I24015,96.35,576,21,0,33,608,608,1,576,937,0.0,99.424
,Tetramesa,Aiolomorphus,L1012_MERG00169_0101_SUPERCONTIG,I21916,L1012_MERG00161_0101_SUPERCONTIG,I21923,97.02,806,22,2,17,821,821,1,805,1080,0.0,99.194
