contamination,query_genus,target_genus,query_seq,I# query,target_seq,I# target,%similarity,length of match (bp),mismatch,gapopen, qstart ,qend ,qlength,tstart ,tend ,tlength,evalue,note
,Promuscidea,Solenura,L1001_MERG00091_0101_SUPERCONTIG,I27405,L1001_MERG00255_0101_SUPERCONTIG,I27397,100.00,295,0,0,1,295,295,566,860,1092,4.00E-157,99.705
,Tanaostigma,Tanaostigmodes,L1001_MERG00362_0101_SUPERCONTIG,I8171,L1001_MERG00363_0101_SUPERCONTIG,I23223,99.83,588,1,0,1,588,588,505,1092,1092,0.0,99.412
,Nasonia,Trichomalopsis,L1003_MERG00337_0101,I5103,L1003_MERG00343_0101,I5110,99.28,414,3,0,1,414,426,1,414,426,0.0,99.586
,Trichomalopsis,Nasonia,L1003_MERG00343_0101,I5110,L1003_MERG00337_0101,I5103,99.28,414,3,0,1,414,426,1,414,426,0.0,99.586
,Cales,Proarescon,L1003_MERG00027_0101_SUPERCONTIG,I28984,L1003_MERG00206_0101_SUPERCONTIG,I28992,100.00,317,0,0,1,317,317,110,426,426,1.00E-169,99.683
,Psilochalcis,Eusemion,L1003_MERG00070_0101_SUPERCONTIG,I23982,L1003_MERG00079_0101_SUPERCONTIG,I23983,99.77,426,1,0,1,426,426,1,426,426,0.0,99.574
,Eusemion,Psilochalcis,L1003_MERG00079_0101_SUPERCONTIG,I23983,L1003_MERG00070_0101_SUPERCONTIG,I23982,99.77,426,1,0,1,426,426,1,426,426,0.0,99.574
,Proarescon,Cales,L1003_MERG00206_0101_SUPERCONTIG,I28992,L1003_MERG00027_0101_SUPERCONTIG,I28984,100.00,317,0,0,110,426,426,1,317,317,2.00E-169,99.683
,Aeschylia,Brachyscelidiphaga,L1003_MERG00310_0101_SUPERCONTIG,I26443,L1003_MERG00314_0101_SUPERCONTIG,I27454,99.06,426,4,0,1,426,426,1,426,426,0.0,99.574
,Brachyscelidiphaga,Aeschylia,L1003_MERG00314_0101_SUPERCONTIG,I27454,L1003_MERG00310_0101_SUPERCONTIG,I26443,99.06,426,4,0,1,426,426,1,426,426,0.0,99.574
,Aeschylia,Brachyscelidiphaga,L1004_MERG00310_0101_SUPERCONTIG,I26443,L1004_MERG00314_0101_SUPERCONTIG,I27454,100.00,291,0,0,1,291,291,1,291,291,2.00E-155,99.709
,Brachyscelidiphaga,Aeschylia,L1004_MERG00314_0101_SUPERCONTIG,I27454,L1004_MERG00310_0101_SUPERCONTIG,I26443,100.00,291,0,0,1,291,291,1,291,291,2.00E-155,99.709
,Nasonia,Trichomalopsis,L1005_MERG00337_0101,I5103,L1005_MERG00343_0101,I5110,99.46,741,4,0,1,741,744,1,741,744,0.0,99.259
,Trichomalopsis,Nasonia,L1005_MERG00343_0101,I5110,L1005_MERG00337_0101,I5103,99.46,741,4,0,1,741,744,1,741,744,0.0,99.259
,Aeschylia,Brachyscelidiphaga,L1005_MERG00310_0101_SUPERCONTIG,I26443,L1005_MERG00314_0101_SUPERCONTIG,I27454,99.60,744,3,0,1,744,744,1,744,744,0.0,99.256
,Brachyscelidiphaga,Aeschylia,L1005_MERG00314_0101_SUPERCONTIG,I27454,L1005_MERG00310_0101_SUPERCONTIG,I26443,99.60,744,3,0,1,744,744,1,744,744,0.0,99.256
,Aeschylia,Brachyscelidiphaga,L1006_MERG00310_0101_SUPERCONTIG,I26443,L1006_MERG00314_0101_SUPERCONTIG,I27454,99.49,396,2,0,1,396,396,1,396,396,0.0,99.604
,Brachyscelidiphaga,Aeschylia,L1006_MERG00314_0101_SUPERCONTIG,I27454,L1006_MERG00310_0101_SUPERCONTIG,I26443,99.49,396,2,0,1,396,396,1,396,396,0.0,99.604
,Tanaostigma,Tanaostigmodes,L1006_MERG00362_0101_SUPERCONTIG,I8171,L1006_MERG00363_0101_SUPERCONTIG,I23223,100.00,396,0,0,1,396,396,1,396,396,0.0,99.604
,Tanaostigmodes,Tanaostigma,L1006_MERG00363_0101_SUPERCONTIG,I23223,L1006_MERG00362_0101_SUPERCONTIG,I8171,100.00,396,0,0,1,396,396,1,396,396,0.0,99.604
,Eucharis,Pseudometagea,L1007_MERG00098_0101,I5011,L1007_MERG00101_0101_SUPERCONTIG,I21631,99.43,174,1,0,1,174,177,1,174,177,4.00E-89,99.826
,Bootanomyia,Megastigmus,L1007_MERG00180_0101,I5043,L1007_MERG00183_0101,I5300,99.43,174,1,0,1,174,177,1,174,177,4.00E-89,99.826
,Megastigmus,Bootanomyia,L1007_MERG00183_0101,I5300,L1007_MERG00180_0101,I5043,99.43,174,1,0,1,174,177,1,174,177,4.00E-89,99.826
,Centrodora,Mesopeltita,L1007_MERG00016_0101_SUPERCONTIG,I26390,L1007_MERG00286_0101_SUPERCONTIG,I26387,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Colocharis,Kapala,L1007_MERG00097_0101_SUPERCONTIG,I12647,L1007_MERG00099_0101_SUPERCONTIG,I12623,99.43,176,1,0,2,177,177,2,177,177,3.00E-90,99.824
,Kapala,Colocharis,L1007_MERG00099_0101_SUPERCONTIG,I12623,L1007_MERG00097_0101_SUPERCONTIG,I12647,99.43,176,1,0,2,177,177,2,177,177,3.00E-90,99.824
,Pseudometagea,Eucharis,L1007_MERG00101_0101_SUPERCONTIG,I21631,L1007_MERG00098_0101,I5011,99.43,174,1,0,1,174,177,1,174,177,4.00E-89,99.826
,Anagrus,Rotoita,L1007_MERG00190_0101_SUPERCONTIG,I27384,L1007_MERG00354_0101_SUPERCONTIG,I27368,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Mesopeltita,Centrodora,L1007_MERG00286_0101_SUPERCONTIG,I26387,L1007_MERG00016_0101_SUPERCONTIG,I26390,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Aeschylia,Brachyscelidiphaga,L1007_MERG00310_0101_SUPERCONTIG,I26443,L1007_MERG00314_0101_SUPERCONTIG,I27454,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Brachyscelidiphaga,Aeschylia,L1007_MERG00314_0101_SUPERCONTIG,I27454,L1007_MERG00310_0101_SUPERCONTIG,I26443,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Rotoita,Anagrus,L1007_MERG00354_0101_SUPERCONTIG,I27368,L1007_MERG00190_0101_SUPERCONTIG,I27384,100.00,177,0,0,1,177,177,1,177,177,2.00E-92,99.823
,Sycophila,Endobia,L1008_MERG00167_0101,I5019,L1008_MERG00164_0101_SUPERCONTIG,I21935,99.42,171,1,0,1,171,174,1,171,174,2.00E-87,99.829
,Eurytoma,Masneroma,L1008_MERG00165_0101,I8160,L1008_MERG00166_0101_SUPERCONTIG,I24015,100.00,174,0,0,1,174,174,1,174,174,8.00E-91,99.826
,Centrodora,Eutrichosomella,L1008_MERG00016_0101_SUPERCONTIG,I26390,L1008_MERG00019_0101_SUPERCONTIG,I26374,100.00,116,0,0,1,116,116,59,174,174,9.00E-59,99.884
,Endobia,Sycophila,L1008_MERG00164_0101_SUPERCONTIG,I21935,L1008_MERG00167_0101,I5019,99.42,171,1,0,1,171,174,1,171,174,2.00E-87,99.829
,Masneroma,Eurytoma,L1008_MERG00166_0101_SUPERCONTIG,I24015,L1008_MERG00165_0101,I8160,100.00,174,0,0,1,174,174,1,174,174,8.00E-91,99.826
,Aeschylia,Brachyscelidiphaga,L1008_MERG00310_0101_SUPERCONTIG,I26443,L1008_MERG00314_0101_SUPERCONTIG,I27454,100.00,174,0,0,1,174,174,1,174,174,8.00E-91,99.826
,Brachyscelidiphaga,Aeschylia,L1008_MERG00314_0101_SUPERCONTIG,I27454,L1008_MERG00310_0101_SUPERCONTIG,I26443,100.00,174,0,0,1,174,174,1,174,174,8.00E-91,99.826
,Megastigmus,Oligosita,L1009_MERG00183_0101,I5300,L1009_MERG00397_0101_SUPERCONTIG,I24053,99.18,122,1,0,1,122,129,1,122,129,1.00E-60,99.878
,Pleistodontes,Coccophagus,L1009_MERG00003_0101_SUPERCONTIG,I23965,L1009_MERG00033_0101_SUPERCONTIG,I23969,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Coccophagus,Pleistodontes,L1009_MERG00033_0101_SUPERCONTIG,I23969,L1009_MERG00003_0101_SUPERCONTIG,I23965,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Colocharis,Kapala,L1009_MERG00097_0101_SUPERCONTIG,I12647,L1009_MERG00099_0101_SUPERCONTIG,I12623,99.22,129,1,0,1,129,129,1,129,129,2.00E-64,99.871
,Kapala,Colocharis,L1009_MERG00099_0101_SUPERCONTIG,I12623,L1009_MERG00097_0101_SUPERCONTIG,I12647,99.22,129,1,0,1,129,129,1,129,129,2.00E-64,99.871
,Pseudometagea,Diaziella,L1009_MERG00101_0101_SUPERCONTIG,I21631,L1009_MERG00349_0101_SUPERCONTIG,I21641,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Megastigmus,Oligosita,L1009_MERG00184_0101_SUPERCONTIG,I24050,L1009_MERG00397_0101_SUPERCONTIG,I24053,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Burksilampus,Steffanolampus,L1009_MERG00214_0101_SUPERCONTIG,I16362,L1009_MERG00221_0101_SUPERCONTIG,I16359,99.22,128,1,0,1,128,129,1,128,129,7.00E-64,99.872
,Perilampus,Steffanolampus,L1009_MERG00220_0101_SUPERCONTIG,I12630,L1009_MERG00221_0101_SUPERCONTIG,I16359,99.22,129,1,0,1,129,129,1,129,129,2.00E-64,99.871
,Steffanolampus,Perilampus,L1009_MERG00221_0101_SUPERCONTIG,I16359,L1009_MERG00220_0101_SUPERCONTIG,I12630,99.22,129,1,0,1,129,129,1,129,129,2.00E-64,99.871
,nr Bofuria,Chiloe,L1009_MERG00264_0101_SUPERCONTIG,I24041,L1009_MERG00353_0101_SUPERCONTIG,I24042,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Diaziella,Pseudometagea,L1009_MERG00349_0101_SUPERCONTIG,I21641,L1009_MERG00101_0101_SUPERCONTIG,I21631,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Chiloe,nr Bofuria,L1009_MERG00353_0101_SUPERCONTIG,I24042,L1009_MERG00264_0101_SUPERCONTIG,I24041,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Oligosita,Megastigmus,L1009_MERG00397_0101_SUPERCONTIG,I24053,L1009_MERG00184_0101_SUPERCONTIG,I24050,100.00,129,0,0,1,129,129,1,129,129,4.00E-66,99.871
,Aeschylia,Brachyscelidiphaga,L100_MERG00310_0101,I26443,L100_MERG00314_0101_SUPERCONTIG,I27454,100.00,198,0,0,4,201,201,1,198,198,4.00E-104,99.802
,Pleistodontes,Coccophagus,L100_MERG00003_0101_SUPERCONTIG,I23965,L100_MERG00033_0101_SUPERCONTIG,I23969,100.00,201,0,0,1,201,201,1,201,201,9.00E-106,99.799
,Coccophagus,Pleistodontes,L100_MERG00033_0101_SUPERCONTIG,I23969,L100_MERG00003_0101_SUPERCONTIG,I23965,100.00,201,0,0,1,201,201,1,201,201,9.00E-106,99.799
,nr Bofuria,Chiloe,L100_MERG00264_0101_SUPERCONTIG,I24041,L100_MERG00353_0101_SUPERCONTIG,I24042,100.00,189,0,0,13,201,201,1,189,189,4.00E-99,99.811
,Brachyscelidiphaga,Aeschylia,L100_MERG00314_0101_SUPERCONTIG,I27454,L100_MERG00310_0101,I26443,100.00,198,0,0,1,198,198,4,201,201,4.00E-104,99.802
,Chiloe,nr Bofuria,L100_MERG00353_0101_SUPERCONTIG,I24042,L100_MERG00264_0101_SUPERCONTIG,I24041,100.00,189,0,0,1,189,189,13,201,201,4.00E-99,99.811
,Nasonia,Trichomalopsis,L1011_MERG00337_0101,I5103,L1011_MERG00343_0101,I5110,99.22,256,2,0,4,259,261,4,259,261,1.00E-132,99.744
,Trichomalopsis,Nasonia,L1011_MERG00343_0101,I5110,L1011_MERG00337_0101,I5103,99.22,256,2,0,4,259,261,4,259,261,1.00E-132,99.744
,Colocharis,Kapala,L1011_MERG00097_0101_SUPERCONTIG,I12647,L1011_MERG00099_0101_SUPERCONTIG,I12623,99.16,238,2,0,1,238,238,1,238,261,1.00E-122,99.762
,Pseudometagea,Diaziella,L1011_MERG00101_0101_SUPERCONTIG,I21631,L1011_MERG00349_0101_SUPERCONTIG,I21641,100.00,261,0,0,1,261,261,1,261,261,9.00E-139,99.739
,Aeschylia,Brachyscelidiphaga,L1011_MERG00310_0101_SUPERCONTIG,I26443,L1011_MERG00314_0101_SUPERCONTIG,I27454,100.00,261,0,0,1,261,261,1,261,261,9.00E-139,99.739
,Brachyscelidiphaga,Aeschylia,L1011_MERG00314_0101_SUPERCONTIG,I27454,L1011_MERG00310_0101_SUPERCONTIG,I26443,100.00,261,0,0,1,261,261,1,261,261,9.00E-139,99.739
,Diaziella,Pseudometagea,L1011_MERG00349_0101_SUPERCONTIG,I21641,L1011_MERG00101_0101_SUPERCONTIG,I21631,100.00,261,0,0,1,261,261,1,261,261,9.00E-139,99.739
,Nasonia,Trichomalopsis,L1012_MERG00337_0101,I5103,L1012_MERG00343_0101,I5110,99.72,354,1,0,4,357,369,4,357,369,0.0,99.646
,Trichomalopsis,Nasonia,L1012_MERG00343_0101,I5110,L1012_MERG00337_0101,I5103,99.72,354,1,0,4,357,369,4,357,369,0.0,99.646
,Aiolomorphus,Tetramesa,L1012_MERG00161_0101_SUPERCONTIG,I21923,L1012_MERG00169_0101_SUPERCONTIG,I21916,99.19,369,3,0,1,369,369,1,369,369,0.0,99.631
,Tetramesa,Aiolomorphus,L1012_MERG00169_0101_SUPERCONTIG,I21916,L1012_MERG00161_0101_SUPERCONTIG,I21923,99.19,369,3,0,1,369,369,1,369,369,0.0,99.631
,Aeschylia,Brachyscelidiphaga,L1012_MERG00310_0101_SUPERCONTIG,I26443,L1012_MERG00314_0101_SUPERCONTIG,I27454,99.19,369,3,0,1,369,369,1,369,369,0.0,99.631
,Brachyscelidiphaga,Aeschylia,L1012_MERG00314_0101_SUPERCONTIG,I27454,L1012_MERG00310_0101_SUPERCONTIG,I26443,99.19,369,3,0,1,369,369,1,369,369,0.0,99.631
,Eurytoma,Scutellista,L1013_MERG00165_0101_SUPERCONTIG,I8160,L1013_MERG00289_0101_SUPERCONTIG,I8169,100.00,280,0,0,1,280,280,63,342,342,3.00E-149,99.72
,Aeschylia,Brachyscelidiphaga,L1013_MERG00310_0101_SUPERCONTIG,I26443,L1013_MERG00314_0101_SUPERCONTIG,I27454,99.71,342,1,0,1,342,342,1,342,342,0.0,99.658
,Brachyscelidiphaga,Aeschylia,L1013_MERG00314_0101_SUPERCONTIG,I27454,L1013_MERG00310_0101_SUPERCONTIG,I26443,99.71,342,1,0,1,342,342,1,342,342,0.0,99.658
,Tanaostigma,Tanaostigmodes,L1013_MERG00362_0101_SUPERCONTIG,I8171,L1013_MERG00363_0101_SUPERCONTIG,I23223,100.00,342,0,0,1,342,342,1,342,342,0.0,99.658
,Tanaostigmodes,Tanaostigma,L1013_MERG00363_0101_SUPERCONTIG,I23223,L1013_MERG00362_0101_SUPERCONTIG,I8171,100.00,342,0,0,1,342,342,1,342,342,0.0,99.658
,Trisecodes,Notanisus,L1014_MERG00130_0101_SUPERCONTIG,I28963,L1014_MERG00251_0101_SUPERCONTIG,I29011,100.00,178,0,0,1,178,178,114,291,291,9.00E-93,99.822
,Aeschylia,Brachyscelidiphaga,L1014_MERG00310_0101_SUPERCONTIG,I26443,L1014_MERG00314_0101_SUPERCONTIG,I27454,100.00,291,0,0,1,291,291,1,291,291,2.00E-155,99.709
,Brachyscelidiphaga,Aeschylia,L1014_MERG00314_0101_SUPERCONTIG,I27454,L1014_MERG00310_0101_SUPERCONTIG,I26443,100.00,291,0,0,1,291,291,1,291,291,2.00E-155,99.709
,Aeschylia,Brachyscelidiphaga,L1015_MERG00310_0101_SUPERCONTIG,I26443,L1015_MERG00314_0101_SUPERCONTIG,I27454,100.00,258,0,0,1,258,258,1,258,258,4.00E-137,99.742
,Brachyscelidiphaga,Aeschylia,L1015_MERG00314_0101_SUPERCONTIG,I27454,L1015_MERG00310_0101_SUPERCONTIG,I26443,100.00,258,0,0,1,258,258,1,258,258,4.00E-137,99.742
,Nasonia,Trichomalopsis,L1016_MERG00337_0101,I5103,L1016_MERG00343_0101,I5110,99.27,273,2,0,1,273,276,1,273,276,4.00E-142,99.727
,Trichomalopsis,Nasonia,L1016_MERG00343_0101,I5110,L1016_MERG00337_0101,I5103,99.27,273,2,0,1,273,276,1,273,276,4.00E-142,99.727
,Aeschylia,Brachyscelidiphaga,L1016_MERG00310_0101_SUPERCONTIG,I26443,L1016_MERG00314_0101_SUPERCONTIG,I27454,100.00,276,0,0,1,276,276,1,276,276,4.00E-147,99.724
,Brachyscelidiphaga,Aeschylia,L1016_MERG00314_0101_SUPERCONTIG,I27454,L1016_MERG00310_0101_SUPERCONTIG,I26443,100.00,276,0,0,1,276,276,1,276,276,4.00E-147,99.724
,Nasonia,Trichomalopsis,L1017_MERG00337_0101,I5103,L1017_MERG00343_0101,I5110,99.07,215,2,0,1,215,219,1,215,219,5.00E-110,99.785
,Trichomalopsis,Nasonia,L1017_MERG00343_0101,I5110,L1017_MERG00337_0101,I5103,99.07,215,2,0,1,215,219,1,215,219,5.00E-110,99.785
,Sycophaga,Coccophagus,L1017_MERG00011_0101_SUPERCONTIG,I23963,L1017_MERG00033_0101_SUPERCONTIG,I23969,100.00,178,0,0,1,178,219,1,178,178,8.00E-93,99.822
,Coccophagus,Sycophaga,L1017_MERG00033_0101_SUPERCONTIG,I23969,L1017_MERG00011_0101_SUPERCONTIG,I23963,100.00,178,0,0,1,178,178,1,178,219,7.00E-93,99.822
,Australomymar,Ablerus,L1017_MERG00192_0101_SUPERCONTIG,I26409,L1017_MERG00054_0101_SUPERCONTIG,I26415,99.38,162,1,0,1,162,162,1,162,219,2.00E-82,99.838
,Aeschylia,Brachyscelidiphaga,L1017_MERG00310_0101_SUPERCONTIG,I26443,L1017_MERG00314_0101_SUPERCONTIG,I27454,99.09,219,2,0,1,219,219,1,219,219,3.00E-112,99.781
,Brachyscelidiphaga,Aeschylia,L1017_MERG00314_0101_SUPERCONTIG,I27454,L1017_MERG00310_0101_SUPERCONTIG,I26443,99.09,219,2,0,1,219,219,1,219,219,3.00E-112,99.781
,Colocharis,Kapala,L1018_MERG00097_0101_SUPERCONTIG,I12647,L1018_MERG00099_0101_SUPERCONTIG,I12623,99.03,207,2,0,1,207,207,1,207,207,1.00E-105,99.793
,Kapala,Colocharis,L1018_MERG00099_0101_SUPERCONTIG,I12623,L1018_MERG00097_0101_SUPERCONTIG,I12647,99.03,207,2,0,1,207,207,1,207,207,1.00E-105,99.793
,Erythmelus,Agamerion,L1018_MERG00197_0101_SUPERCONTIG,I26457,L1018_MERG00240_0101_SUPERCONTIG,I26466,100.00,117,0,0,1,117,117,91,207,207,3.00E-59,99.883
,Aeschylia,Brachyscelidiphaga,L1018_MERG00310_0101_SUPERCONTIG,I26443,L1018_MERG00314_0101_SUPERCONTIG,I27454,100.00,207,0,0,1,207,207,1,207,207,5.00E-109,99.793
,Brachyscelidiphaga,Aeschylia,L1018_MERG00314_0101_SUPERCONTIG,I27454,L1018_MERG00310_0101_SUPERCONTIG,I26443,100.00,207,0,0,1,207,207,1,207,207,5.00E-109,99.793
,Nasonia,Trichomalopsis,L1019_MERG00337_0101,I5103,L1019_MERG00343_0101,I5110,99.25,266,2,0,1,266,270,1,266,270,3.00E-138,99.734
,Trichomalopsis,Nasonia,L1019_MERG00343_0101,I5110,L1019_MERG00337_0101,I5103,99.25,266,2,0,1,266,270,1,266,270,3.00E-138,99.734
,Lelaps,Clytina,L1019_MERG00271_0101_SUPERCONTIG,I21705,L1019_MERG00356_0101_SUPERCONTIG,I21713,100.00,270,0,0,1,270,270,1,270,270,9.00E-144,99.73
,Aeschylia,Brachyscelidiphaga,L1019_MERG00310_0101_SUPERCONTIG,I26443,L1019_MERG00314_0101_SUPERCONTIG,I27454,99.63,270,1,0,1,270,270,1,270,270,4.00E-142,99.73
,Brachyscelidiphaga,Aeschylia,L1019_MERG00314_0101_SUPERCONTIG,I27454,L1019_MERG00310_0101_SUPERCONTIG,I26443,99.63,270,1,0,1,270,270,1,270,270,4.00E-142,99.73
,Clytina,Lelaps,L1019_MERG00356_0101_SUPERCONTIG,I21713,L1019_MERG00271_0101_SUPERCONTIG,I21705,100.00,270,0,0,1,270,270,1,270,270,9.00E-144,99.73
,Aeschylia,Brachyscelidiphaga,L1020_MERG00310_0101_SUPERCONTIG,I26443,L1020_MERG00314_0101_SUPERCONTIG,I27454,100.00,186,0,0,1,186,186,1,186,186,2.00E-97,99.814
,Brachyscelidiphaga,Aeschylia,L1020_MERG00314_0101_SUPERCONTIG,I27454,L1020_MERG00310_0101_SUPERCONTIG,I26443,100.00,186,0,0,1,186,186,1,186,186,2.00E-97,99.814
,Megastigmus,Neomegastigmus,L1021_MERG00183_0101,I5300,L1021_MERG00186_0101_SUPERCONTIG,I26464,100.00,75,0,0,1,75,78,1,75,78,1.00E-36,99.925
,Spalangia,Lelapsomorpha,L1021_MERG00346_0101,I5111,L1021_MERG00260_0101_SUPERCONTIG,I23212,100.00,75,0,0,1,75,78,1,75,78,1.00E-36,99.925
,Spalangia,Lelapsomorpha,L1021_MERG00347_0101,I5113,L1021_MERG00260_0101_SUPERCONTIG,I23212,100.00,75,0,0,1,75,78,1,75,78,1.00E-36,99.925
,Miscogaster,Nodisoplata,L1021_MERG00305_0101,I21949,L1021_MERG00306_0101_SUPERCONTIG,I21956,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Platynocheilus,Mongolocampe,L1021_MERG00366_0101,I23235,L1021_MERG00365_0101_SUPERCONTIG,I21945,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Conura,Melanosmicra,L1021_MERG00060_0101_SUPERCONTIG,I21694,L1021_MERG00062_0101_SUPERCONTIG,I21662,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Melanosmicra,Conura,L1021_MERG00062_0101_SUPERCONTIG,I21662,L1021_MERG00060_0101_SUPERCONTIG,I21694,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Dirhinus,Proshizonotus,L1021_MERG00065_0101_SUPERCONTIG,I23253,L1021_MERG00254_0101_SUPERCONTIG,I23215,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Dirhinus,Parepistenia,L1021_MERG00065_0101_SUPERCONTIG,I23253,L1021_MERG00253_0101_SUPERCONTIG,I27418,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Pnigalio,Sympiesis,L1021_MERG00127_0101_SUPERCONTIG,I21932,L1021_MERG00128_0101_SUPERCONTIG,I21679,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Sympiesis,Pnigalio,L1021_MERG00128_0101_SUPERCONTIG,I21679,L1021_MERG00127_0101_SUPERCONTIG,I21932,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Aiolomorphus,Systole,L1021_MERG00161_0101_SUPERCONTIG,I21923,L1021_MERG00168_0101_SUPERCONTIG,I21924,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Systole,Aiolomorphus,L1021_MERG00168_0101_SUPERCONTIG,I21924,L1021_MERG00161_0101_SUPERCONTIG,I21923,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Micrapion,Polistomorpha,L1021_MERG00177_0101_SUPERCONTIG,I23249,L1021_MERG00178_0101_SUPERCONTIG,I29055,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Polistomorpha,Micrapion,L1021_MERG00178_0101_SUPERCONTIG,I29055,L1021_MERG00177_0101_SUPERCONTIG,I23249,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Megastigmus,Neomegastigmus,L1021_MERG00185_0101_SUPERCONTIG,I23231,L1021_MERG00186_0101_SUPERCONTIG,I26464,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Neomegastigmus,Megastigmus,L1021_MERG00186_0101_SUPERCONTIG,I26464,L1021_MERG00185_0101_SUPERCONTIG,I23231,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Cerocephala,Neocalosoter,L1021_MERG00236_0101_SUPERCONTIG,I27442,L1021_MERG00237_0101_SUPERCONTIG,I26458,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Neocalosoter,Cerocephala,L1021_MERG00237_0101_SUPERCONTIG,I26458,L1021_MERG00236_0101_SUPERCONTIG,I27442,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Epistenia,Dipara,L1021_MERG00246_0101_SUPERCONTIG,I23214,L1021_MERG00270_0101_SUPERCONTIG,I23230,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Parepistenia,Proshizonotus,L1021_MERG00253_0101_SUPERCONTIG,I27418,L1021_MERG00254_0101_SUPERCONTIG,I23215,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Proshizonotus,Parepistenia,L1021_MERG00254_0101_SUPERCONTIG,I23215,L1021_MERG00253_0101_SUPERCONTIG,I27418,100.00,78,0,0,1,78,78,1,78,78,3.00E-38,99.922
,Lelapsomorpha,Spalangia,L1021_MERG00260_0101_SUPERCONTIG,I23212,L1021_MERG00347_0101,I5113,100.00,75,0,0,1,75,78,1,75,78,1.00E-36,99.925
